Stadt1	Stadt2	Abstand
Gomel	Kaluga	441.18
Gomel	Kursk	377.17
Gomel	Orel	366.56
Gomel	Smolensk	272.59
Gomel	Bila Tserkva	298.65
Gomel	Cherkasy	339.90
Gomel	Chernihiv	105.60
Gomel	Kharkiv	461.00
Gomel	Khmilnyk	387.13
Gomel	Kirovograd	444.66
Gomel	Kremenchuk	411.27
Gomel	KYIV	222.46
Gomel	Luts'k	447.89
Gomel	Poltava	404.33
Gomel	Rivne	395.28
Gomel	Sumy	318.98
Gomel	Vinnitsa	399.15
Gomel	Zhytomyr	293.43
Grodno	MINSK	267.64
Grodno	Vitebsk	485.64
Grodno	RIGA	364.01
Grodno	Kaunas	135.30
Grodno	VILNIUS	152.33
Grodno	Bialystok	79.01
Grodno	Bydgoszcz	421.79
Grodno	Czestochowa	464.50
Grodno	Gdansk	378.31
Grodno	Gdynia	394.76
Grodno	Kraków	488.97
Grodno	Lódz	378.64
Grodno	Lublin	289.24
Grodno	Radom	316.48
Grodno	WARSZAWA	258.79
Grodno	Kaliningrad	263.69
Grodno	Luts'k	343.86
Grodno	Lviv	427.79
Grodno	Rivne	382.30
Grodno	Ternopil	476.29
MINSK	Mogilev	315.77
MINSK	Vitebsk	237.50
MINSK	RIGA	419.64
MINSK	Kaunas	284.02
MINSK	VILNIUS	184.88
MINSK	Bialystok	327.23
MINSK	Lublin	466.29
MINSK	Bryansk	492.07
MINSK	Pskov	439.23
MINSK	Smolensk	335.22
MINSK	Bila Tserkva	491.25
MINSK	Chernihiv	378.54
MINSK	Khmilnyk	484.52
MINSK	KYIV	438.75
MINSK	Luts'k	386.23
MINSK	Rivne	377.19
MINSK	Zhytomyr	413.07
Mogilev	Vitebsk	216.29
Mogilev	VILNIUS	491.92
Mogilev	Balashikha	494.44
Mogilev	Belgorod	471.23
Mogilev	Bryansk	177.20
Mogilev	Kaluga	323.86
Mogilev	Khimki	467.63
Mogilev	Kursk	366.69
Mogilev	MOSKVA	470.00
Mogilev	Orel	302.68
Mogilev	Podolsk	448.37
Mogilev	Smolensk	130.92
Mogilev	Stary Oskol	492.66
Mogilev	Tula	410.16
Mogilev	Tver	459.83
Mogilev	Bila Tserkva	443.28
Mogilev	Cherkasy	463.28
Mogilev	Chernihiv	239.87
Mogilev	KYIV	365.91
Mogilev	Poltava	484.10
Mogilev	Sumy	362.82
Mogilev	Zhytomyr	440.37
Vitebsk	RIGA	478.08
Vitebsk	Kaunas	451.83
Vitebsk	VILNIUS	356.55
Vitebsk	Bryansk	368.23
Vitebsk	Kaluga	439.40
Vitebsk	Orel	486.81
Vitebsk	Pskov	321.32
Vitebsk	Smolensk	139.25
Vitebsk	Tver	448.63
Vitebsk	Velikiy Novgorod	378.20
Vitebsk	Chernihiv	419.14
Antwerpen (Anvers)	BRUSSEL	41.83
Antwerpen (Anvers)	Charleroi	90.10
Antwerpen (Anvers)	Gent (Gand)	49.13
Antwerpen (Anvers)	Liège (Luik)	105.60
Antwerpen (Anvers)	Dijon	436.44
Antwerpen (Anvers)	Le Havre	362.10
Antwerpen (Anvers)	Le Mans	467.17
Antwerpen (Anvers)	Lille	115.59
Antwerpen (Anvers)	Metz	266.16
Antwerpen (Anvers)	Mulhouse	440.12
Antwerpen (Anvers)	Nancy	308.86
Antwerpen (Anvers)	Orléans	410.04
Antwerpen (Anvers)	PARIS	301.16
Antwerpen (Anvers)	Reims	220.09
Antwerpen (Anvers)	Rouen	308.45
Antwerpen (Anvers)	Strasbourg	378.83
Antwerpen (Anvers)	Aachen	130.19
Antwerpen (Anvers)	Bielefeld	308.45
Antwerpen (Anvers)	Bochum	203.70
Antwerpen (Anvers)	Bonn	200.53
Antwerpen (Anvers)	Braunschweig	453.00
Antwerpen (Anvers)	Bremen	376.73
Antwerpen (Anvers)	Dortmund	221.60
Antwerpen (Anvers)	Duisburg	170.40
Antwerpen (Anvers)	Düsseldorf	169.93
Antwerpen (Anvers)	Erfurt	474.75
Antwerpen (Anvers)	Essen	188.90
Antwerpen (Anvers)	Frankfurt am Main	330.19
Antwerpen (Anvers)	Freiburg im Breisgau	435.52
Antwerpen (Anvers)	Gelsenkirchen	195.47
Antwerpen (Anvers)	Hamburg	477.21
Antwerpen (Anvers)	Hannover	402.73
Antwerpen (Anvers)	Karlsruhe	377.73
Antwerpen (Anvers)	Kassel	364.28
Antwerpen (Anvers)	Köln	185.74
Antwerpen (Anvers)	Krefeld	155.13
Antwerpen (Anvers)	Mainz	308.64
Antwerpen (Anvers)	Mannheim	348.89
Antwerpen (Anvers)	Mönchengladbach	145.58
Antwerpen (Anvers)	Münster (Westf.)	245.43
Antwerpen (Anvers)	Oberhausen	177.47
Antwerpen (Anvers)	Stuttgart	436.73
Antwerpen (Anvers)	Wiesbaden	302.54
Antwerpen (Anvers)	Wuppertal	198.71
Antwerpen (Anvers)	AMSTERDAM	132.95
Antwerpen (Anvers)	Eindhoven	79.26
Antwerpen (Anvers)	Groningen	271.08
Antwerpen (Anvers)	Rotterdam	78.24
Antwerpen (Anvers)	s-Gravenhage	95.49
Antwerpen (Anvers)	Tilburg	61.62
Antwerpen (Anvers)	Utrecht	109.71
Antwerpen (Anvers)	Bâle	467.09
Antwerpen (Anvers)	Birmingham	471.89
Antwerpen (Anvers)	Brighton and Hove	327.97
Antwerpen (Anvers)	Coventry	442.75
Antwerpen (Anvers)	Derby	460.77
Antwerpen (Anvers)	Kingston-upon-Hull	440.05
Antwerpen (Anvers)	Leicester	425.79
Antwerpen (Anvers)	LONDON	325.27
Antwerpen (Anvers)	Luton	351.96
Antwerpen (Anvers)	Northampton	395.23
Antwerpen (Anvers)	Nottingham	441.14
Antwerpen (Anvers)	Portsmouth	394.23
Antwerpen (Anvers)	Reading	384.80
Antwerpen (Anvers)	Sheffield	483.65
Antwerpen (Anvers)	Southampton	416.49
Antwerpen (Anvers)	Wolverhampton	490.76
BRUSSEL	Charleroi	48.81
BRUSSEL	Gent (Gand)	52.10
BRUSSEL	Liège (Luik)	90.18
BRUSSEL	Dijon	395.42
BRUSSEL	Le Havre	338.72
BRUSSEL	Le Mans	433.72
BRUSSEL	Lille	95.02
BRUSSEL	Metz	232.30
BRUSSEL	Mulhouse	405.78
BRUSSEL	Nancy	273.07
BRUSSEL	Orléans	371.30
BRUSSEL	PARIS	263.64
BRUSSEL	Reims	178.30
BRUSSEL	Rouen	280.62
BRUSSEL	Strasbourg	349.92
BRUSSEL	Tours	465.39
BRUSSEL	Aachen	124.10
BRUSSEL	Bielefeld	326.08
BRUSSEL	Bochum	216.91
BRUSSEL	Bonn	196.94
BRUSSEL	Braunschweig	468.67
BRUSSEL	Bremen	403.79
BRUSSEL	Dortmund	234.70
BRUSSEL	Duisburg	184.20
BRUSSEL	Düsseldorf	178.41
BRUSSEL	Erfurt	477.63
BRUSSEL	Essen	202.28
BRUSSEL	Frankfurt am Main	320.27
BRUSSEL	Freiburg im Breisgau	403.97
BRUSSEL	Gelsenkirchen	209.69
BRUSSEL	Hannover	421.03
BRUSSEL	Karlsruhe	354.75
BRUSSEL	Kassel	371.25
BRUSSEL	Köln	186.77
BRUSSEL	Krefeld	167.08
BRUSSEL	Mainz	295.96
BRUSSEL	Mannheim	330.76
BRUSSEL	Mönchengladbach	153.94
BRUSSEL	Münster (Westf.)	265.32
BRUSSEL	Oberhausen	191.71
BRUSSEL	Stuttgart	414.93
BRUSSEL	Wiesbaden	290.86
BRUSSEL	Wuppertal	207.36
BRUSSEL	AMSTERDAM	174.23
BRUSSEL	Eindhoven	103.24
BRUSSEL	Groningen	307.96
BRUSSEL	Rotterdam	120.06
BRUSSEL	s-Gravenhage	136.85
BRUSSEL	Tilburg	94.94
BRUSSEL	Utrecht	149.14
BRUSSEL	Bâle	433.01
BRUSSEL	BERNE	487.21
BRUSSEL	Zürich	489.18
BRUSSEL	Birmingham	482.72
BRUSSEL	Brighton and Hove	321.85
BRUSSEL	Coventry	453.75
BRUSSEL	Derby	476.40
BRUSSEL	Kingston-upon-Hull	465.27
BRUSSEL	Leicester	439.84
BRUSSEL	LONDON	328.61
BRUSSEL	Luton	359.67
BRUSSEL	Northampton	405.95
BRUSSEL	Nottingham	457.94
BRUSSEL	Portsmouth	388.08
BRUSSEL	Reading	386.49
BRUSSEL	Southampton	411.59
Charleroi	Gent (Gand)	91.65
Charleroi	Liège (Luik)	84.84
Charleroi	Angers	484.24
Charleroi	Dijon	346.61
Charleroi	Le Havre	326.41
Charleroi	Le Mans	404.77
Charleroi	Lille	101.79
Charleroi	Metz	189.84
Charleroi	Mulhouse	361.74
Charleroi	Nancy	228.14
Charleroi	Orléans	332.95
Charleroi	PARIS	228.79
Charleroi	Reims	131.80
Charleroi	Rouen	262.78
Charleroi	Strasbourg	311.90
Charleroi	Tours	430.35
Charleroi	Aachen	124.09
Charleroi	Bielefeld	342.64
Charleroi	Bochum	231.46
Charleroi	Bonn	193.37
Charleroi	Braunschweig	481.14
Charleroi	Bremen	430.39
Charleroi	Dortmund	248.45
Charleroi	Duisburg	200.96
Charleroi	Düsseldorf	189.77
Charleroi	Erfurt	475.03
Charleroi	Essen	217.67
Charleroi	Frankfurt am Main	304.90
Charleroi	Freiburg im Breisgau	362.77
Charleroi	Gelsenkirchen	225.67
Charleroi	Hannover	437.08
