Stadt	Einwohner	Land	Breitengrad	Laengengrad
Strasbourg	461101.0	France	48.584614	7.7507127
Toulon	569793.0	France	43.1257311	5.9304919
Toulouse	948433.0	France	43.6044622	1.4442469
Tours	353042.0	France	47.3900474	0.6889268
Villeurbanne	148665.0	France	45.7733105	4.8869339
Aachen	246272.0	Germany	50.776351	6.083862
Augsburg	292851.0	Germany	48.3668041	10.8986971
Bergisch Gladbach	111627.0	Germany	50.9929303	7.1277379
BERLIN	3613495.0	Germany	52.5170365	13.3888599
Bielefeld	332552.0	Germany	52.0191005	8.531007
Bochum	365529.0	Germany	51.4818111	7.2196635
Bonn	325490.0	Germany	50.735851	7.10066
Bottrop	117364.0	Germany	51.521581	6.929204
Braunschweig	248023.0	Germany	52.2646577	10.5236066
Bremen	568006.0	Germany	53.0758196	8.8071646
Bremerhaven	113026.0	Germany	53.5522264	8.5865509
Chemnitz	246855.0	Germany	50.8322608	12.9252977
Cottbus	101036.0	Germany	51.7567447	14.3357307
Darmstadt	158254.0	Germany	49.872775	8.651177
Dortmund	586600.0	Germany	51.5142273	7.4652789
Dresden	551072.0	Germany	51.0493286	13.7381437
Duisburg	498110.0	Germany	51.434999	6.759562
Düsseldorf	617280.0	Germany	51.2254018	6.7763137
Erfurt	212988.0	Germany	50.9777974	11.0287364
Erlangen	110998.0	Germany	49.5981187	11.003645
Essen	583393.0	Germany	51.4582235	7.0158171
Frankfurt am Main	746878.0	Germany	50.1106444	8.6820917
Freiburg im Breisgau	229636.0	Germany	47.9960901	7.8494005
Fürth	126526.0	Germany	49.477263	10.989616
Gelsenkirchen	260305.0	Germany	51.5110321	7.0960124
Göttingen	119529.0	Germany	51.5327604	9.9352051
Hagen	187730.0	Germany	51.3582945	7.473296
Halle (Saale)	239173.0	Germany	51.4825041	11.9705452
Hamburg	1830584.0	Germany	53.5437641	10.0099133
Hamm	179185.0	Germany	51.6804093	7.815197
Hannover	535061.0	Germany	52.3744779	9.7385532
Heidelberg	160601.0	Germany	49.4093582	8.694724
Heilbronn	125113.0	Germany	49.142291	9.218655
Herne	156490.0	Germany	51.5380394	7.219985
Hildesheim	101744.0	Germany	52.1521636	9.9513046
Ingolstadt	135244.0	Germany	48.7630165	11.4250395
Jena	111099.0	Germany	50.9281717	11.5879359
Karlsruhe	311919.0	Germany	49.0068705	8.4034195
Kassel	200736.0	Germany	51.3154546	9.4924096
Kiel	247943.0	Germany	54.3227085	10.135555
Koblenz	113844.0	Germany	50.3533278	7.5943951
Köln	1080394.0	Germany	50.938361	6.959974
Krefeld	226699.0	Germany	51.3331205	6.5623343
Leipzig	581980.0	Germany	51.3406321	12.3747329
Leverkusen	163577.0	Germany	51.0324743	6.9881194
Lübeck	216318.0	Germany	53.866444	10.684738
Ludwigshafen am Rhein	168497.0	Germany	49.4704113	8.4381568
Magdeburg	238478.0	Germany	52.1315889	11.6399609
Mainz	215110.0	Germany	50.0012314	8.2762513
Mannheim	307997.0	Germany	49.489591	8.467236
Moers	103949.0	Germany	51.451283	6.62843
Mönchengladbach	262188.0	Germany	51.1946983	6.4353641
Mülheim an der Ruhr	171265.0	Germany	51.4272925	6.8829192
München	1456039.0	Germany	48.1371079	11.5753822
Münster (Westf.)	313559.0	Germany	51.9564055	7.635792
Neuss	153810.0	Germany	51.1981778	6.6916476
Nürnberg	515201.0	Germany	49.453872	11.077298
Oberhausen	211422.0	Germany	51.4696137	6.8514435
Offenbach am Main	126658.0	Germany	50.1055002	8.7610698
Oldenburg (Oldenburg)	167081.0	Germany	53.1389753	8.2146017
Osnabrück	164374.0	Germany	52.266837	8.049741
Paderborn	149075.0	Germany	51.71895955	8.764869778177559
Pforzheim	124289.0	Germany	48.8908846	8.7029532
Potsdam	175710.0	Germany	52.4009309	13.0591397
Recklinghausen	113360.0	Germany	51.6143815	7.1978546
Regensburg	150894.0	Germany	49.0195333	12.0974869
Remscheid	110584.0	Germany	51.1798706	7.1943544
Reutlingen	115762.0	Germany	48.4919508	9.2114144
Rostock	208409.0	Germany	54.0924445	12.1286127
Saarbrücken	180966.0	Germany	49.234362	6.996379
Salzgitter	104548.0	Germany	52.1503721	10.3593147
Siegen	102337.0	Germany	50.8749804	8.0227233
Solingen	158803.0	Germany	51.1712468	7.0838996
Stuttgart	632743.0	Germany	48.7784485	9.1800132
Trier	110013.0	Germany	49.7596208	6.6441878
Ulm	125596.0	Germany	48.3974003	9.9934336
Wiesbaden	278654.0	Germany	50.0820384	8.2416556
Wolfsburg	123914.0	Germany	52.4205588	10.7861682
Wuppertal	353590.0	Germany	51.264018	7.1780374
Würzburg	126635.0	Germany	49.79245	9.932966
GIBRALTAR	34003.0	Gibraltar	36.140807	-5.3541295
ATHINAI	664046.0	Greece	37.9872279	23.7643591
Kallithea	100641.0	Greece	37.9560111	23.7033792
Heraklion	140730.0	Greece	35.3400127	25.1343475
Larissa	144651.0	Greece	39.6383092	22.4160706
Patrai	167446.0	Greece	38.246242	21.7350847
Peristeri	139981.0	Greece	38.0128111	23.6955137
Piraeus	163688.0	Greece	37.9431594	23.6470593
Thessaloniki	315196.0	Greece	40.6403167	22.9352716
ST. PETER PORT	18599.0	Guernsey	49.4568142	-2.5389979
VATICAN CITY	451.0	Vatican	41.9034912	12.4528349
BUDAPEST	2595024.0	Hungary	47.4983815	19.0404707
Debrecen	265861.0	Hungary	47.531399	21.6259782
Györ	233796.5	Hungary	47.687609	17.6346815
Kecskemét	132517.5	Hungary	46.9080769	19.6928133
Miskolc	246372.5	Hungary	48.1031503	20.7901985
Nyiregyhaza	147467.0	Hungary	47.9557802	21.7167982
Pécs	179881.5	Hungary	46.0763222	18.2280746
Szeged	204061.5	Hungary	46.2546312	20.1486016
REYKJAVIK	219681.0	Iceland	64.145981	-21.9422367
Cork	124391.0	Ireland	51.8979282	-8.4705806
DUBLIN	544107.0	Ireland	53.3497645	-6.2602732
DOUGLAS	26218.0	Isle of Man	54.1478523	-4.485297815814697
Ancona	100810.0	Italy	43.480120400000004	13.218790609151764
Bari	323784.0	Italy	41.1257843	16.8620293
Bergamo	120605.0	Italy	45.756655699999996	9.754219200862249
Bologna	388814.0	Italy	44.4936714	11.3430347
Bolzano	107134.0	Italy	46.4981125	11.3547801
Brescia	196707.5	Italy	45.77958045	10.4258729694612
Cagliari	154094.5	Italy	39.2169525	9.1128513
Catania	312508.0	Italy	37.5022355	15.08738
Ferrara	132143.5	Italy	44.766764249999994	11.827938995640167
Firenze	381603.0	Italy	43.7698712	11.2555757
Foggia	151549.0	Italy	41.50281055	15.452899609627726
Forli	117904.5	Italy	44.2227182	12.0412435
Genova	581849.0	Italy	44.40726	8.9338624
Giugliano in Campania	124100.0	Italy	40.9286872	14.2006989
Latina	126310.5	Italy	41.45952605	13.012591212188894
Livorno	158643.5	Italy	42.79021905	10.340281392353766
Messina	235627.5	Italy	38.1937571	15.5542082
Milano	1358871.0	Italy	45.4668	9.1905
Modena	185000.0	Italy	44.5384728	10.935960870530739
Monza	123276.5	Italy	45.5834418	9.2735257
Napoli	968164.5	Italy	40.8359336	14.2487826
Novara	104233.5	Italy	45.584250049999994	8.545996970894572
Padova	210134.5	Italy	45.4077172	11.8734455
