JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 C3-K1 s8 C3-K2 s9 K1-K2 s10
Aperture: 8, Filter: L, JD: geocentric
2460492.5834606 0.80985 0.00315 1.00216 0.00328 1.10025 0.00323 -0.42953 0.00182 -0.33143 0.00174 0.92614 0.00311 1.02424 0.00306 0.55171 0.00254 0.64981 0.00248 0.09810 0.00198
2460492.5849190 0.81543 0.00324 1.01276 0.00334 1.10979 0.00331 -0.42691 0.00179 -0.32987 0.00174 0.93228 0.00308 1.02931 0.00305 0.56190 0.00256 0.65893 0.00252 0.09703 0.00195
2460492.5863657 0.83540 0.00329 1.02557 0.00339 1.13261 0.00335 -0.43484 0.00183 -0.32780 0.00175 0.92270 0.00312 1.02974 0.00308 0.55836 0.00263 0.66540 0.00257 0.10704 0.00197
2460492.5878125 0.85105 0.00340 1.05047 0.00351 1.14663 0.00347 -0.42389 0.00185 -0.32773 0.00178 0.93118 0.00315 1.02734 0.00311 0.56393 0.00259 0.66009 0.00254 0.09616 0.00199
2460492.5892708 0.85429 0.00344 1.05035 0.00355 1.15472 0.00351 -0.42673 0.00186 -0.32237 0.00177 0.92372 0.00322 1.02808 0.00317 0.56223 0.00262 0.66659 0.00257 0.10437 0.00201
2460492.5907176 0.85553 0.00346 1.04795 0.00357 1.15159 0.00353 -0.42894 0.00186 -0.32530 0.00178 0.92298 0.00314 1.02662 0.00310 0.55297 0.00263 0.65662 0.00257 0.10364 0.00199
2460492.5921644 0.87524 0.00349 1.06613 0.00360 1.16915 0.00356 -0.43389 0.00189 -0.33087 0.00181 0.92764 0.00321 1.03066 0.00317 0.55550 0.00267 0.65852 0.00262 0.10302 0.00203
2460492.5936111 0.87856 0.00350 1.07011 0.00362 1.17969 0.00358 -0.43007 0.00189 -0.32048 0.00181 0.91926 0.00327 1.02885 0.00323 0.55475 0.00266 0.66434 0.00260 0.10959 0.00206
2460492.5957986 0.89327 0.00366 1.08614 0.00375 1.18463 0.00372 -0.42702 0.00186 -0.32853 0.00180 0.91871 0.00326 1.01720 0.00322 0.55314 0.00264 0.65164 0.00259 0.09849 0.00201
2460492.5972454 0.88687 0.00360 1.08186 0.00372 1.18518 0.00367 -0.42732 0.00190 -0.32399 0.00180 0.92790 0.00325 1.03123 0.00319 0.55621 0.00266 0.65954 0.00259 0.10333 0.00204
2460492.5986921 0.89411 0.00361 1.07501 0.00372 1.18695 0.00368 -0.44077 0.00191 -0.32883 0.00184 0.90137 0.00330 1.01331 0.00326 0.54949 0.00270 0.66143 0.00265 0.11194 0.00206
2460492.6001505 0.88484 0.00368 1.08321 0.00378 1.18285 0.00374 -0.41571 0.00192 -0.31607 0.00183 0.91886 0.00332 1.01850 0.00327 0.54822 0.00268 0.64786 0.00262 0.09964 0.00206
2460492.6015972 0.88453 0.00353 1.07897 0.00363 1.18206 0.00359 -0.42738 0.00190 -0.32428 0.00181 0.93287 0.00337 1.03597 0.00332 0.55055 0.00269 0.65364 0.00263 0.10309 0.00205
2460492.6030324 0.89418 0.00371 1.07933 0.00381 1.18711 0.00377 -0.43375 0.00192 -0.32597 0.00184 0.91328 0.00335 1.02106 0.00330 0.54134 0.00265 0.64911 0.00259 0.10778 0.00206
2460492.6044792 0.88503 0.00379 1.08089 0.00389 1.17782 0.00386 -0.42658 0.00191 -0.32965 0.00185 0.92117 0.00330 1.01810 0.00326 0.56286 0.00276 0.65979 0.00273 0.09693 0.00207
2460492.6059259 0.87546 0.00362 1.06183 0.00373 1.16799 0.00370 -0.43409 0.00193 -0.32794 0.00187 0.91269 0.00336 1.01885 0.00332 0.54775 0.00276 0.65391 0.00272 0.10616 0.00211
2460492.6073727 0.87575 0.00368 1.06850 0.00379 1.17399 0.00375 -0.43095 0.00195 -0.32546 0.00187 0.92803 0.00339 1.03352 0.00335 0.55574 0.00278 0.66123 0.00272 0.10549 0.00211
2460492.6088310 0.87116 0.00384 1.06240 0.00394 1.17144 0.00390 -0.43126 0.00198 -0.32222 0.00189 0.92160 0.00349 1.03065 0.00344 0.55475 0.00283 0.66380 0.00277 0.10905 0.00213
2460492.6102894 0.86669 0.00377 1.06853 0.00387 1.16596 0.00383 -0.41792 0.00200 -0.32050 0.00192 0.92859 0.00351 1.02601 0.00346 0.56119 0.00284 0.65862 0.00279 0.09742 0.00215
2460492.6117361 0.86270 0.00381 1.06170 0.00393 1.16339 0.00387 -0.41714 0.00200 -0.31544 0.00188 0.92330 0.00344 1.02499 0.00337 0.55117 0.00280 0.65287 0.00272 0.10170 0.00214
2460492.6131713 0.86121 0.00384 1.05551 0.00395 1.15938 0.00390 -0.42548 0.00199 -0.32161 0.00189 0.92672 0.00358 1.03059 0.00352 0.54961 0.00286 0.65348 0.00279 0.10387 0.00216
2460492.6146296 0.83280 0.00378 1.02494 0.00388 1.12947 0.00384 -0.43090 0.00201 -0.32638 0.00193 0.92280 0.00348 1.02732 0.00344 0.55678 0.00289 0.66131 0.00284 0.10453 0.00216
2460492.6168171 0.82022 0.00373 1.00954 0.00383 1.10782 0.00380 -0.43222 0.00200 -0.33394 0.00193 0.91680 0.00350 1.01508 0.00347 0.55247 0.00285 0.65075 0.00280 0.09828 0.00216
2460492.6182639 0.80051 0.00360 0.99407 0.00371 1.10090 0.00367 -0.42701 0.00202 -0.32019 0.00195 0.91900 0.00357 1.02583 0.00353 0.55584 0.00287 0.66267 0.00282 0.10683 0.00218
2460492.6197222 0.77741 0.00377 0.97352 0.00388 1.07031 0.00384 -0.42266 0.00204 -0.32586 0.00197 0.92624 0.00353 1.02303 0.00349 0.55057 0.00292 0.64737 0.00287 0.09679 0.00220
2460492.6211690 0.76630 0.00363 0.95854 0.00374 1.06776 0.00370 -0.43016 0.00204 -0.32093 0.00196 0.92096 0.00355 1.03018 0.00351 0.55665 0.00293 0.66587 0.00288 0.10922 0.00220
2460492.6226157 0.76113 0.00369 0.94622 0.00381 1.06522 0.00374 -0.43325 0.00210 -0.31425 0.00198 0.91221 0.00375 1.03120 0.00369 0.54063 0.00295 0.65963 0.00287 0.11900 0.00225
2460492.6240625 0.75983 0.00369 0.94398 0.00382 1.05216 0.00376 -0.43775 0.00209 -0.32957 0.00199 0.91535 0.00362 1.02353 0.00356 0.54558 0.00297 0.65376 0.00291 0.10818 0.00226
2460492.6255093 0.75688 0.00377 0.95345 0.00388 1.05385 0.00384 -0.42190 0.00208 -0.32150 0.00200 0.92582 0.00371 1.02621 0.00367 0.55097 0.00295 0.65137 0.00289 0.10040 0.00226
2460492.6269560 0.76115 0.00372 0.95905 0.00385 1.05855 0.00378 -0.42146 0.00213 -0.32195 0.00200 0.92593 0.00375 1.02543 0.00368 0.55533 0.00301 0.65484 0.00293 0.09950 0.00228
2460492.6284144 0.76451 0.00379 0.95995 0.00389 1.07232 0.00386 -0.42784 0.00207 -0.31546 0.00202 0.92310 0.00373 1.03548 0.00370 0.56281 0.00305 0.67518 0.00302 0.11237 0.00226
2460492.6298727 0.79654 0.00387 0.98927 0.00399 1.10202 0.00393 -0.42535 0.00215 -0.31260 0.00205 0.92034 0.00374 1.03309 0.00368 0.54731 0.00308 0.66006 0.00301 0.11274 0.00230
2460492.6313194 0.79463 0.00393 0.99099 0.00403 1.09427 0.00400 -0.42226 0.00213 -0.31898 0.00206 0.91553 0.00379 1.01881 0.00375 0.55827 0.00310 0.66155 0.00305 0.10328 0.00232
2460492.6327662 0.82097 0.00410 1.00574 0.00421 1.11853 0.00417 -0.43569 0.00216 -0.32289 0.00208 0.91585 0.00386 1.02864 0.00381 0.54271 0.00309 0.65550 0.00304 0.11279 0.00236
2460492.6342130 0.82254 0.00416 1.01615 0.00429 1.12771 0.00423 -0.42441 0.00218 -0.31284 0.00208 0.92060 0.00387 1.03216 0.00382 0.54845 0.00306 0.66002 0.00299 0.11157 0.00237
2460492.6356713 0.84253 0.00418 1.02967 0.00429 1.13167 0.00423 -0.43351 0.00221 -0.33151 0.00210 0.91278 0.00392 1.01478 0.00385 0.54945 0.00318 0.65145 0.00310 0.10200 0.00237
2460492.6378588 0.84620 0.00433 1.03337 0.00442 1.14399 0.00437 -0.43036 0.00223 -0.31974 0.00214 0.92087 0.00414 1.03149 0.00409 0.53611 0.00322 0.64673 0.00316 0.11062 0.00240
2460492.6393171 0.87060 0.00433 1.05582 0.00444 1.15421 0.00440 -0.43298 0.00227 -0.33459 0.00217 0.90707 0.00398 1.00546 0.00393 0.54421 0.00326 0.64260 0.00320 0.09839 0.00245
2460492.6407523 0.86701 0.00458 1.04722 0.00469 1.16453 0.00464 -0.44021 0.00228 -0.32290 0.00217 0.91227 0.00411 1.02958 0.00405 0.53739 0.00329 0.65470 0.00322 0.11731 0.00246
2460492.6421991 0.88429 0.00453 1.08238 0.00464 1.17887 0.00459 -0.42154 0.00232 -0.32506 0.00223 0.92672 0.00432 1.02321 0.00427 0.55578 0.00337 0.65226 0.00331 0.09648 0.00253
2460492.6436458 0.88990 0.00471 1.07094 0.00481 1.18385 0.00476 -0.43507 0.00232 -0.32215 0.00221 0.91022 0.00428 1.02314 0.00422 0.52966 0.00343 0.64258 0.00336 0.11292 0.00253
2460492.6451042 0.88577 0.00472 1.07345 0.00483 1.18429 0.00478 -0.42890 0.00235 -0.31806 0.00226 0.91282 0.00421 1.02366 0.00416 0.54032 0.00341 0.65116 0.00335 0.11084 0.00255
2460492.6465509 0.89055 0.00481 1.07248 0.00493 1.18458 0.00487 -0.43432 0.00241 -0.32221 0.00229 0.91570 0.00436 1.02780 0.00429 0.52771 0.00347 0.63982 0.00339 0.11211 0.00262
2460492.6479977 0.90021 0.00495 1.08039 0.00506 1.20717 0.00500 -0.43595 0.00245 -0.30916 0.00231 0.91224 0.00444 1.03902 0.00437 0.52686 0.00357 0.65364 0.00347 0.12679 0.00264
2460492.6494444 0.89932 0.00505 1.08130 0.00519 1.19384 0.00511 -0.43544 0.00254 -0.32290 0.00236 0.91281 0.00460 1.02534 0.00450 0.53268 0.00362 0.64521 0.00350 0.11253 0.00273
2460492.6509028 0.89046 0.00535 1.08129 0.00546 1.18959 0.00542 -0.42247 0.00255 -0.31418 0.00246 0.91162 0.00469 1.01992 0.00464 0.53863 0.00373 0.64692 0.00366 0.10829 0.00280
2460492.6523495 0.88760 0.00552 1.07128 0.00563 1.19384 0.00557 -0.42984 0.00264 -0.30728 0.00250 0.91039 0.00478 1.03295 0.00471 0.52780 0.00384 0.65035 0.00375 0.12256 0.00284
2460492.6537963 0.91222 0.00566 1.09436 0.00576 1.20093 0.00571 -0.43590 0.00267 -0.32933 0.00256 0.91563 0.00504 1.02219 0.00498 0.53247 0.00392 0.63904 0.00385 0.10657 0.00290
2460492.6552546 0.89960 0.00616 1.07827 0.00630 1.19211 0.00622 -0.43264 0.00288 -0.31880 0.00270 0.89719 0.00519 1.01103 0.00509 0.52323 0.00415 0.63707 0.00403 0.11384 0.00310
2460492.6567014 0.89398 0.00626 1.08443 0.00638 1.19934 0.00631 -0.42277 0.00300 -0.30786 0.00284 0.90870 0.00561 1.02360 0.00552 0.53985 0.00455 0.65475 0.00445 0.11491 0.00327
2460492.6588773 0.89220 0.00710 1.06693 0.00725 1.18874 0.00716 -0.44304 0.00333 -0.32123 0.00315 0.92893 0.00645 1.05074 0.00635 0.51008 0.00501 0.63189 0.00488 0.12181 0.00370
2460492.6603241 0.88648 0.00806 1.05757 0.00824 1.18456 0.00807 -0.44606 0.00388 -0.31907 0.00349 0.91968 0.00746 1.04667 0.00726 0.50881 0.00571 0.63579 0.00546 0.12699 0.00414
2460492.6617708 0.90972 0.00965 1.08134 0.00984 1.20546 0.00971 -0.44916 0.00437 -0.32504 0.00409 0.92512 0.00854 1.04923 0.00840 0.51473 0.00650 0.63884 0.00632 0.12412 0.00481
2460492.6632176 0.89709 0.01181 1.09162 0.01195 1.20478 0.01184 -0.42581 0.00516 -0.31265 0.00489 0.95692 0.01067 1.07008 0.01055 0.53055 0.00798 0.64371 0.00781 0.11316 0.00569
2460492.6646644 0.89318 0.01409 1.04910 0.01435 1.17531 0.01416 -0.45090 0.00643 -0.32469 0.00599 0.91525 0.01282 1.04146 0.01260 0.46197 0.00940 0.58818 0.00911 0.12621 0.00701
2460492.6661111 0.88906 0.01704 1.04387 0.01735 1.16459 0.01713 -0.46232 0.00769 -0.34159 0.00718 0.92555 0.01552 1.04627 0.01528 0.47753 0.01161 0.59825 0.01128 0.12072 0.00855
