JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 C3-K1 s8 C3-K2 s9 K1-K2 s10
Aperture: 8, Filter: L, JD: geocentric
2460492.4196412 0.76430 0.00340 0.96086 0.00353 1.06252 0.00348 -0.42427 0.00197 -0.32261 0.00188 0.91979 0.00338 1.02145 0.00334 0.56104 0.00274 0.66270 0.00268 0.10165 0.00213
2460492.4210880 0.76250 0.00349 0.96599 0.00360 1.06491 0.00355 -0.41860 0.00198 -0.31968 0.00189 0.92074 0.00350 1.01967 0.00345 0.57541 0.00284 0.67434 0.00278 0.09893 0.00214
2460492.4225347 0.76875 0.00339 0.96643 0.00351 1.06922 0.00346 -0.42559 0.00197 -0.32279 0.00189 0.92143 0.00341 1.02423 0.00337 0.56784 0.00282 0.67064 0.00276 0.10280 0.00214
2460492.4239815 0.77796 0.00348 0.98103 0.00360 1.08316 0.00356 -0.41946 0.00200 -0.31733 0.00193 0.92556 0.00351 1.02769 0.00347 0.57230 0.00284 0.67443 0.00280 0.10213 0.00218
2460492.4254282 0.79225 0.00349 0.99465 0.00362 1.09767 0.00356 -0.41971 0.00203 -0.31668 0.00193 0.91975 0.00345 1.02278 0.00340 0.57429 0.00287 0.67731 0.00281 0.10303 0.00218
2460492.4268866 0.81705 0.00363 1.01127 0.00374 1.11621 0.00372 -0.42817 0.00204 -0.32323 0.00199 0.91863 0.00353 1.02358 0.00350 0.56175 0.00290 0.66669 0.00286 0.10494 0.00222
2460492.4283333 0.82564 0.00376 1.02443 0.00388 1.12412 0.00384 -0.42038 0.00208 -0.32069 0.00200 0.91630 0.00362 1.01599 0.00357 0.56326 0.00299 0.66295 0.00294 0.09969 0.00227
2460492.4297801 0.83705 0.00393 1.03317 0.00406 1.13896 0.00400 -0.42484 0.00211 -0.31906 0.00201 0.91697 0.00373 1.02275 0.00367 0.56264 0.00300 0.66842 0.00293 0.10578 0.00229
2460492.4312384 0.84475 0.00371 1.04316 0.00384 1.14853 0.00379 -0.42386 0.00207 -0.31849 0.00198 0.91882 0.00359 1.02419 0.00354 0.56851 0.00297 0.67388 0.00291 0.10537 0.00224
2460492.4326852 0.85190 0.00385 1.05190 0.00396 1.15265 0.00393 -0.42092 0.00205 -0.32017 0.00198 0.91734 0.00361 1.01809 0.00358 0.56898 0.00295 0.66973 0.00290 0.10074 0.00225
2460492.4341319 0.85291 0.00366 1.04979 0.00377 1.15918 0.00373 -0.42399 0.00202 -0.31460 0.00196 0.91753 0.00351 1.02692 0.00347 0.56335 0.00288 0.67274 0.00284 0.10939 0.00218
2460492.4355903 0.85708 0.00371 1.06145 0.00383 1.16028 0.00380 -0.41703 0.00202 -0.31820 0.00196 0.92337 0.00353 1.02220 0.00350 0.57331 0.00288 0.67214 0.00284 0.09883 0.00222
2460492.4370370 0.85649 0.00382 1.05164 0.00393 1.16091 0.00389 -0.42758 0.00205 -0.31831 0.00196 0.91561 0.00351 1.02489 0.00346 0.56635 0.00296 0.67563 0.00290 0.10928 0.00221
2460492.4384838 0.85111 0.00372 1.05317 0.00385 1.15213 0.00380 -0.41541 0.00207 -0.31645 0.00198 0.91761 0.00354 1.01657 0.00349 0.56379 0.00293 0.66275 0.00287 0.09896 0.00223
2460492.4399306 0.86790 0.00383 1.06517 0.00396 1.17282 0.00391 -0.42059 0.00206 -0.31294 0.00196 0.90658 0.00354 1.01424 0.00349 0.56447 0.00294 0.67212 0.00287 0.10765 0.00224
2460492.4413889 0.86564 0.00374 1.06216 0.00386 1.16712 0.00382 -0.42489 0.00203 -0.31994 0.00194 0.91435 0.00344 1.01931 0.00339 0.56634 0.00289 0.67130 0.00283 0.10495 0.00220
2460492.4428356 0.86469 0.00377 1.06589 0.00389 1.16762 0.00384 -0.41807 0.00201 -0.31634 0.00192 0.91698 0.00349 1.01871 0.00344 0.56720 0.00284 0.66893 0.00278 0.10173 0.00218
2460492.4442824 0.86891 0.00378 1.06451 0.00389 1.17395 0.00385 -0.42304 0.00201 -0.31360 0.00193 0.91183 0.00346 1.02127 0.00341 0.55972 0.00287 0.66916 0.00282 0.10944 0.00217
2460492.4457292 0.86585 0.00368 1.06472 0.00381 1.16076 0.00375 -0.41947 0.00203 -0.32343 0.00192 0.91269 0.00351 1.00874 0.00345 0.56398 0.00289 0.66002 0.00281 0.09604 0.00218
