JD V-C s1
2460440.5068318 -0.47176 0.00225
2460440.5075309 -0.47709 0.00224
2460440.5082312 -0.48068 0.00220
2460440.5089305 -0.48165 0.00221
2460440.5096299 -0.48015 0.00233
2460440.5103296 -0.48308 0.00233
2460440.5110293 -0.48595 0.00233
2460440.5117286 -0.48519 0.00235
2460440.5157973 -0.48170 0.00223
2460440.5164968 -0.47709 0.00224
2460440.5171960 -0.48386 0.00221
2460440.5178961 -0.47921 0.00224
2460440.5185957 -0.48162 0.00223
2460440.5192956 -0.48407 0.00222
2460440.5199950 -0.48048 0.00223
2460440.5206942 -0.47719 0.00227
2460440.5213937 -0.47795 0.00231
2460440.5220931 -0.48282 0.00227
2460440.5227925 -0.47786 0.00220
2460440.5234920 -0.47711 0.00221
2460440.5241915 -0.48273 0.00221
2460440.5248907 -0.48226 0.00224
2460440.5255898 -0.48100 0.00228
2460440.5262891 -0.48097 0.00225
2460440.5269882 -0.48188 0.00226
2460440.5276875 -0.48224 0.00223
2460440.5283876 -0.47908 0.00226
2460440.5290868 -0.47732 0.00225
2460440.5297872 -0.47952 0.00222
2460440.5304875 -0.48048 0.00223
2460440.5311879 -0.48047 0.00224
2460440.5318880 -0.47795 0.00223
2460440.5325874 -0.48185 0.00221
2460440.5332870 -0.48204 0.00221
2460440.5339860 -0.48360 0.00220
2460440.5346856 -0.48107 0.00223
2460440.5353862 -0.48121 0.00222
2460440.5360865 -0.47972 0.00226
2460440.5367870 -0.48181 0.00221
2460440.5374862 -0.48071 0.00222
2460440.5381852 -0.48407 0.00230
2460440.5388842 -0.48389 0.00232
2460440.5395837 -0.47994 0.00226
2460440.5438952 -0.47966 0.00226
2460440.5445946 -0.48090 0.00227
2460440.5452950 -0.48408 0.00232
2460440.5459945 -0.48465 0.00225
2460440.5466938 -0.48107 0.00226
2460440.5473933 -0.48365 0.00227
2460440.5480926 -0.48400 0.00227
2460440.5487918 -0.47713 0.00226
2460440.5494911 -0.48220 0.00229
2460440.5501902 -0.48079 0.00230
2460440.5508898 -0.48217 0.00233
2460440.5515889 -0.48350 0.00231
2460440.5522884 -0.48177 0.00233
2460440.5529878 -0.48290 0.00233
2460440.5536870 -0.48180 0.00232
2460440.5543874 -0.48399 0.00237
2460440.5550870 -0.48176 0.00236
2460440.5557863 -0.48187 0.00235
2460440.5598415 -0.48168 0.00226
