JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 K1-K2 s8
Aperture: 6, Filter: L, JD: geocentric
2460492.4921412 0.82785 0.00289 -0.50147 0.00372 -1.65395 0.00758 0.55773 0.00540 -0.59476 0.00853 -1.98196 0.00316 -3.13445 0.00732 -1.15248 0.00787
2460492.4935995 0.81870 0.00290 -0.50832 0.00369 -1.67949 0.00756 0.56219 0.00540 -0.60898 0.00853 -1.97987 0.00312 -3.15105 0.00730 -1.17117 0.00783
2460492.4950463 0.82287 0.00286 -0.50186 0.00372 -1.66845 0.00765 0.56639 0.00539 -0.60021 0.00858 -1.97776 0.00319 -3.14436 0.00740 -1.16660 0.00795
2460492.4964931 0.84055 0.00288 -0.48407 0.00368 -1.66613 0.00757 0.56745 0.00533 -0.61461 0.00850 -1.97775 0.00311 -3.15981 0.00731 -1.18206 0.00783
2460492.4979514 0.83119 0.00293 -0.48939 0.00372 -1.64913 0.00749 0.56996 0.00540 -0.58977 0.00845 -1.97356 0.00314 -3.13329 0.00721 -1.15974 0.00775
2460492.4993866 0.84421 0.00294 -0.48389 0.00373 -1.64972 0.00768 0.56464 0.00546 -0.60118 0.00865 -1.98129 0.00315 -3.14712 0.00742 -1.16582 0.00795
2460492.5008449 0.84252 0.00291 -0.48613 0.00375 -1.64664 0.00771 0.55904 0.00538 -0.60147 0.00862 -1.98135 0.00318 -3.14186 0.00745 -1.16051 0.00799
2460492.5023032 0.84417 0.00293 -0.47909 0.00375 -1.64907 0.00786 0.56937 0.00550 -0.60061 0.00883 -1.97644 0.00319 -3.14642 0.00760 -1.16998 0.00814
2460492.5037500 0.84524 0.00295 -0.47515 0.00376 -1.63709 0.00763 0.56260 0.00543 -0.59934 0.00859 -1.97264 0.00317 -3.13458 0.00737 -1.16194 0.00790
2460492.5051968 0.84860 0.00295 -0.47925 0.00382 -1.65795 0.00805 0.56401 0.00547 -0.61468 0.00895 -1.98096 0.00323 -3.15966 0.00779 -1.17870 0.00833
2460492.5066435 0.84715 0.00292 -0.48044 0.00376 -1.65200 0.00757 0.56018 0.00540 -0.61137 0.00851 -1.98030 0.00318 -3.15186 0.00731 -1.17156 0.00786
2460492.5080903 0.83031 0.00289 -0.49667 0.00372 -1.66749 0.00770 0.56275 0.00545 -0.60807 0.00867 -1.97988 0.00318 -3.15070 0.00746 -1.17082 0.00800
2460492.5095255 0.83158 0.00288 -0.50614 0.00370 -1.67234 0.00779 0.54843 0.00530 -0.61777 0.00867 -1.99027 0.00314 -3.15648 0.00754 -1.16621 0.00806
2460492.5117245 0.81773 0.00284 -0.51095 0.00370 -1.67137 0.00764 0.57027 0.00531 -0.59015 0.00854 -1.98247 0.00316 -3.14289 0.00740 -1.16042 0.00794
2460492.5131713 0.80599 0.00285 -0.51934 0.00363 -1.68826 0.00755 0.56568 0.00534 -0.60325 0.00850 -1.97835 0.00309 -3.14728 0.00730 -1.16892 0.00782
2460492.5146296 0.78932 0.00287 -0.53364 0.00369 -1.70858 0.00738 0.57682 0.00546 -0.59811 0.00840 -1.97682 0.00316 -3.15176 0.00713 -1.17494 0.00769
2460492.5160648 0.76724 0.00284 -0.55222 0.00367 -1.73006 0.00762 0.56378 0.00539 -0.61407 0.00858 -1.97173 0.00315 -3.14958 0.00738 -1.17784 0.00792
