JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 K1-K2 s8
Aperture: 4, Filter: L, JD: geocentric

2460492.4740046 -0.82136 0.00291 -1.75824 0.00584 -0.47797 0.00309 -0.61193 0.00662 0.66834 0.00439 -1.18665 0.00610 0.09362 0.00356 1.28027 0.00604
2460492.4754630 -0.81439 0.00294 -1.72451 0.00582 -0.45904 0.00312 -0.58724 0.00662 0.67823 0.00443 -1.15867 0.00608 0.10680 0.00358 1.26547 0.00602
2460492.4856019 -0.76740 0.00292 -1.68223 0.00577 -0.40408 0.00310 -0.59895 0.00651 0.67920 0.00433 -1.15922 0.00601 0.11893 0.00353 1.27815 0.00595
2460492.6407523 -0.73151 0.00401 -1.64869 0.00900 -0.36822 0.00412 -0.60497 0.01006 0.67550 0.00610 -1.15937 0.00932 0.12110 0.00476 1.28047 0.00921
2460492.6617708 -0.72964 0.00641 -1.64267 0.01618 -0.33793 0.00639 -0.61164 0.01805 0.69309 0.01023 -1.14867 0.01667 0.15606 0.00755 1.30473 0.01651
2460492.4558565 -0.74458 0.00323 -1.66173 0.00627 -0.38387 0.00341 -0.59578 0.00711 0.68208 0.00479 -1.16480 0.00652 0.11306 0.00387 1.27786 0.00645
2460492.4841551 -0.76801 0.00290 -1.68348 0.00573 -0.41356 0.00309 -0.59745 0.00646 0.67246 0.00430 -1.16114 0.00598 0.10878 0.00353 1.26992 0.00591
2460492.3833681 -0.74069 0.00335 -1.67126 0.00733 -0.39179 0.00348 -0.61132 0.00820 0.66815 0.00506 -1.17697 0.00760 0.10250 0.00402 1.27947 0.00752
2460492.4196412 -0.83317 0.00312 -1.75877 0.00634 -0.48158 0.00329 -0.60804 0.00720 0.66915 0.00474 -1.17099 0.00664 0.10620 0.00384 1.27719 0.00655
2460492.4225347 -0.83023 0.00313 -1.75910 0.00632 -0.47535 0.00331 -0.61674 0.00716 0.66701 0.00471 -1.17102 0.00664 0.11273 0.00388 1.28375 0.00654
2460492.4529630 -0.74687 0.00322 -1.65932 0.00650 -0.38635 0.00342 -0.59059 0.00730 0.68238 0.00478 -1.16039 0.00676 0.11258 0.00390 1.27297 0.00669
2460492.6182639 -0.81204 0.00333 -1.71612 0.00733 -0.44706 0.00349 -0.59266 0.00822 0.67641 0.00510 -1.14581 0.00764 0.12325 0.00410 1.26906 0.00755
2460492.6240625 -0.85820 0.00345 -1.76854 0.00772 -0.48658 0.00361 -0.59255 0.00868 0.68941 0.00536 -1.15588 0.00804 0.12608 0.00424 1.28196 0.00796
2460492.6255093 -0.84461 0.00356 -1.77205 0.00801 -0.48434 0.00366 -0.60915 0.00899 0.67856 0.00549 -1.17326 0.00834 0.11445 0.00434 1.28771 0.00823
2460492.6588773 -0.71996 0.00506 -1.62459 0.01165 -0.34537 0.00508 -0.60394 0.01307 0.67528 0.00781 -1.13985 0.01212 0.13937 0.00609 1.27922 0.01192
2460492.6603241 -0.73396 0.00571 -1.65223 0.01388 -0.33856 0.00556 -0.60398 0.01562 0.70968 0.00906 -1.16170 0.01439 0.15196 0.00673 1.31366 0.01416
2460492.6646644 -0.73634 0.00926 99.99999 9.99999 -0.33251 0.00899 99.99999 9.99999 0.68376 0.01454 99.99999 9.99999 0.18149 0.01113 99.99999 9.99999
2460492.3906250 -0.72396 0.00323 -1.65269 0.00663 -0.37281 0.00338 -0.60373 0.00747 0.67616 0.00483 -1.17853 0.00688 0.10135 0.00386 1.27988 0.00680
2460492.4210880 -0.83255 0.00314 -1.74794 0.00644 -0.47948 0.00333 -0.59906 0.00729 0.66940 0.00477 -1.16005 0.00673 0.10841 0.00386 1.26846 0.00666
2460492.4254282 -0.80428 0.00321 -1.74327 0.00666 -0.45433 0.00342 -0.62473 0.00751 0.66422 0.00487 -1.18242 0.00696 0.10653 0.00396 1.28895 0.00689
2460492.4812500 -0.77553 0.00292 -1.69625 0.00582 -0.41577 0.00311 -0.59837 0.00657 0.68211 0.00436 -1.16895 0.00607 0.11153 0.00355 1.28048 0.00600
2460492.6567014 -0.71421 0.00473 -1.63060 0.01120 -0.34137 0.00474 -0.59847 0.01256 0.69077 0.00741 -1.16200 0.01159 0.12723 0.00560 1.28923 0.01144
2460492.4239815 -0.81307 0.00320 -1.73812 0.00655 -0.47171 0.00337 -0.60141 0.00745 0.66500 0.00489 -1.17404 0.00684 0.09237 0.00391 1.26641 0.00677
2460492.4268866 -0.78596 0.00331 -1.71289 0.00673 -0.43461 0.00350 -0.60231 0.00763 0.67597 0.00502 -1.17651 0.00703 0.10177 0.00405 1.27828 0.00696
2460492.4696528 -0.83791 0.00306 -1.75578 0.00619 -0.48931 0.00327 -0.60336 0.00701 0.66312 0.00464 -1.16146 0.00649 0.10502 0.00381 1.26648 0.00643
2460492.4827083 -0.77114 0.00289 -1.68763 0.00574 -0.41437 0.00309 -0.60564 0.00648 0.66762 0.00431 -1.15786 0.00600 0.11539 0.00354 1.27326 0.00594
2460492.4906829 -0.73733 0.00289 -1.64163 0.00555 -0.37440 0.00305 -0.58362 0.00629 0.68361 0.00425 -1.15154 0.00579 0.11568 0.00346 1.26723 0.00571
2460492.4993866 -0.72606 0.00291 -1.64494 0.00563 -0.37470 0.00309 -0.59882 0.00636 0.67143 0.00429 -1.16576 0.00585 0.10449 0.00349 1.27025 0.00580
2460492.5080903 -0.73917 0.00291 -1.65456 0.00566 -0.37430 0.00309 -0.59787 0.00640 0.68239 0.00430 -1.16075 0.00590 0.11951 0.00352 1.28026 0.00583
2460492.5907176 -0.73533 0.00320 -1.66536 0.00640 -0.38120 0.00334 -0.60060 0.00727 0.68356 0.00479 -1.18242 0.00668 0.10174 0.00384 1.28416 0.00659
2460492.5986921 -0.71220 0.00323 -1.63272 0.00661 -0.35127 0.00337 -0.60142 0.00744 0.68003 0.00480 -1.16683 0.00687 0.11462 0.00385 1.28145 0.00678
2460492.6001505 -0.71744 0.00333 -1.63399 0.00693 -0.35480 0.00348 -0.60347 0.00778 0.67572 0.00495 -1.15928 0.00717 0.11992 0.00394 1.27919 0.00710
2460492.6146296 -0.76628 0.00331 -1.69954 0.00707 -0.39847 0.00345 -0.60709 0.00792 0.69398 0.00497 -1.18375 0.00735 0.11733 0.00399 1.30108 0.00726
2460492.6269560 -0.83004 0.00354 -1.75799 0.00797 -0.47932 0.00371 -0.60976 0.00893 0.66891 0.00547 -1.17372 0.00831 0.10495 0.00438 1.27867 0.00822
2460492.6313194 -0.81318 0.00361 -1.73142 0.00796 -0.45014 0.00373 -0.60734 0.00893 0.67394 0.00551 -1.15964 0.00832 0.12164 0.00445 1.28128 0.00819
2460492.6327662 -0.78946 0.00362 -1.70744 0.00775 -0.42550 0.00372 -0.60511 0.00878 0.67682 0.00555 -1.16057 0.00807 0.12137 0.00436 1.28193 0.00796
2460492.6421991 -0.73693 0.00382 -1.64325 0.00837 -0.36401 0.00391 -0.58943 0.00942 0.68981 0.00583 -1.15131 0.00870 0.12794 0.00457 1.27924 0.00858
2460492.3775810 -0.78036 0.00369 -1.72600 0.00877 -0.42986 0.00375 -0.64075 0.00980 0.65539 0.00575 -1.18343 0.00911 0.11271 0.00448 1.29614 0.00899
2460492.3862731 -0.72631 0.00324 -1.65721 0.00678 -0.37015 0.00337 -0.61507 0.00763 0.67199 0.00485 -1.17526 0.00703 0.11179 0.00385 1.28705 0.00695
2460492.4000810 -0.73442 0.00311 -1.66418 0.00642 -0.37986 0.00327 -0.60462 0.00719 0.67969 0.00461 -1.17964 0.00666 0.10467 0.00373 1.28431 0.00659
2460492.4312384 -0.75249 0.00333 -1.67002 0.00664 -0.40199 0.00350 -0.58392 0.00758 0.68412 0.00506 -1.17238 0.00692 0.09565 0.00400 1.26803 0.00685
2460492.4326852 -0.75123 0.00334 -1.67365 0.00686 -0.40144 0.00353 -0.59574 0.00771 0.67647 0.00498 -1.17320 0.00713 0.09901 0.00404 1.27221 0.00706
2460492.4399306 -0.72916 0.00337 -1.67243 0.00700 -0.37438 0.00352 -0.62835 0.00783 0.66970 0.00497 -1.18709 0.00727 0.11096 0.00403 1.29805 0.00717
2460492.4573148 -0.76188 0.00325 -1.66297 0.00648 -0.39794 0.00343 -0.58431 0.00731 0.68072 0.00481 -1.14601 0.00675 0.11902 0.00392 1.26503 0.00667
2460492.4870486 -0.75545 0.00298 -1.66690 0.00589 -0.39301 0.00316 -0.58351 0.00667 0.69038 0.00445 -1.16298 0.00614 0.11091 0.00360 1.27389 0.00607
2460492.4935995 -0.75443 0.00288 -1.67788 0.00558 -0.38905 0.00304 -0.60985 0.00631 0.67898 0.00424 -1.16648 0.00581 0.12235 0.00346 1.28883 0.00574
2460492.5095255 -0.74328 0.00288 -1.66192 0.00570 -0.38316 0.00307 -0.60756 0.00639 0.67121 0.00423 -1.16016 0.00593 0.11861 0.00348 1.27876 0.00586
2460492.5399884 -0.74320 0.00291 -1.66702 0.00569 -0.38400 0.00308 -0.60029 0.00643 0.68272 0.00431 -1.17274 0.00592 0.11028 0.00349 1.28302 0.00586
2460492.5863657 -0.76753 0.00304 -1.68058 0.00614 -0.40539 0.00319 -0.58570 0.00697 0.68949 0.00458 -1.16422 0.00640 0.11097 0.00366 1.27518 0.00632
2460492.5921644 -0.72390 0.00320 -1.65048 0.00662 -0.35613 0.00336 -0.60472 0.00744 0.68963 0.00476 -1.17452 0.00688 0.11983 0.00384 1.29435 0.00680
2460492.5936111 -0.72085 0.00320 -1.63679 0.00652 -0.36213 0.00335 -0.59692 0.00733 0.67775 0.00474 -1.16220 0.00679 0.11246 0.00385 1.27467 0.00670
2460492.5957986 -0.70697 0.00317 -1.64148 0.00638 -0.34953 0.00329 -0.61815 0.00718 0.67381 0.00466 -1.17918 0.00662 0.11277 0.00374 1.29195 0.00653
2460492.6226157 -0.84430 0.00348 -1.76319 0.00779 -0.48407 0.00363 -0.61361 0.00875 0.66551 0.00540 -1.15690 0.00812 0.12222 0.00429 1.27912 0.00802
2460492.6356713 -0.75589 0.00361 -1.67513 0.00781 -0.40654 0.00373 -0.60472 0.00881 0.66387 0.00552 -1.16282 0.00812 0.10577 0.00434 1.26859 0.00802
2460492.6393171 -0.75063 0.00385 -1.67021 0.00873 -0.36842 0.00392 -0.60316 0.00972 0.69864 0.00581 -1.16429 0.00906 0.13751 0.00462 1.30180 0.00892
2460492.6451042 -0.70994 0.00393 -1.62239 0.00856 -0.36586 0.00405 -0.59653 0.00959 0.66000 0.00593 -1.15685 0.00889 0.09968 0.00471 1.25653 0.00876
2460492.6509028 -0.71963 0.00412 -1.64372 0.00920 -0.34435 0.00416 -0.61115 0.01031 0.68823 0.00624 -1.16673 0.00954 0.13265 0.00487 1.29937 0.00939
2460492.6523495 -0.71815 0.00414 -1.64908 0.00928 -0.34182 0.00423 -0.60984 0.01039 0.69742 0.00631 -1.17842 0.00959 0.12884 0.00487 1.30726 0.00948
2460492.6537963 -0.69102 0.00428 -1.60963 0.00977 -0.34170 0.00444 -0.60403 0.01089 0.66390 0.00655 -1.16222 0.01011 0.10571 0.00514 1.26793 0.01001
2460492.6552546 -0.69153 0.00452 -1.62854 0.01048 -0.33758 0.00450 -0.63522 0.01173 0.65573 0.00693 -1.17289 0.01082 0.11807 0.00524 1.29095 0.01067
