JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C1-K1 s6 C1-K2 s7 C1-K3 s8 C1-K4 s9 C2-K1 s10 C2-K2 s11 C2-K3 s12 C2-K4 s13 K1-K2 s14 K1-K3 s15 K1-K4 s16 K2-K3 s17 K2-K4 s18 K3-K4 s19
Aperture: 6, Filter: L, JD: geocentric
2460492.3986343 0.83755 0.00326 -0.47587 0.00414 -2.51392 0.01726 -0.67621 0.00449 -1.65730 0.00878 0.56279 0.00611 -1.47526 0.01784 0.36245 0.00635 -0.61864 0.00986 -1.96501 0.00349 -4.00306 0.01712 -2.16535 0.00390 -3.14644 0.00849 -2.03805 0.01742 -0.20035 0.00504 -1.18143 0.00907 1.83771 0.01750 0.85662 0.01906 -0.98109 0.00924
2460492.4000810 0.83003 0.00322 -0.48169 0.00414 -2.51713 0.01768 -0.67768 0.00455 -1.66234 0.00921 0.57233 0.00609 -1.46311 0.01824 0.37634 0.00637 -0.60831 0.01023 -1.96407 0.00353 -3.99951 0.01755 -2.16006 0.00399 -3.14471 0.00895 -2.03544 0.01784 -0.19599 0.00513 -1.18064 0.00952 1.83945 0.01794 0.85479 0.01965 -0.98465 0.00970
2460492.4015394 0.82314 0.00330 99.99999 9.99999 -2.51983 0.01796 -0.68837 0.00463 99.99999 9.99999 99.99999 9.99999 -1.46569 0.01850 0.36578 0.00641 99.99999 9.99999 99.99999 9.99999 -3.99467 0.01782 -2.16321 0.00403 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 1.83146 0.01821 99.99999 9.99999 99.99999 9.99999
2460492.4029861 0.81492 0.00329 -0.49933 0.00422 -2.52622 0.01793 -0.70095 0.00455 -1.68406 0.00918 0.54928 0.00623 -1.47762 0.01851 0.34766 0.00645 -0.63546 0.01026 -1.96459 0.00359 -3.99148 0.01780 -2.16621 0.00397 -3.14933 0.00891 -2.02690 0.01810 -0.20162 0.00515 -1.18474 0.00949 1.82527 0.01818 0.84216 0.01985 -0.98312 0.00964
2460492.4044329 0.81564 0.00332 -0.49207 0.00420 -2.52418 0.01772 -0.69226 0.00455 -1.67051 0.00922 0.57122 0.00632 -1.46089 0.01834 0.37102 0.00655 -0.60722 0.01036 -1.95957 0.00356 -3.99168 0.01758 -2.15976 0.00396 -3.13800 0.00895 -2.03211 0.01788 -0.20019 0.00513 -1.17844 0.00952 1.83192 0.01797 0.85367 0.01968 -0.97825 0.00968
2460492.4058796 0.80069 0.00331 -0.51062 0.00428 -2.53108 0.01757 -0.72096 0.00463 -1.70268 0.00932 0.56542 0.00638 -1.45504 0.01819 0.35508 0.00662 -0.62664 0.01045 -1.96296 0.00367 -3.98342 0.01743 -2.17330 0.00407 -3.15502 0.00905 -2.02046 0.01775 -0.21034 0.00528 -1.19206 0.00966 1.81012 0.01784 0.82840 0.01959 -0.98172 0.00982
2460492.4073264 0.80066 0.00339 -0.50949 0.00435 -2.51219 0.01787 -0.70905 0.00474 -1.68668 0.00919 0.57537 0.00649 -1.42733 0.01851 0.37581 0.00675 -0.60182 0.01038 -1.96265 0.00371 -3.96535 0.01773 -2.16221 0.00416 -3.13984 0.00891 -2.00270 0.01805 -0.19956 0.00537 -1.17719 0.00953 1.80314 0.01815 0.82551 0.01978 -0.97763 0.00972
2460492.4087731 0.78060 0.00332 -0.54337 0.00434 -2.52461 0.01734 -0.72997 0.00469 -1.72596 0.00941 0.55638 0.00640 -1.42486 0.01797 0.36978 0.00664 -0.62621 0.01052 -1.97596 0.00373 -3.95721 0.01720 -2.16257 0.00414 -3.15856 0.00915 -1.98124 0.01754 -0.18660 0.00538 -1.18259 0.00977 1.79464 0.01763 0.79865 0.01942 -0.99599 0.00993
2460492.4102199 0.76538 0.00326 -0.55288 0.00420 -2.56415 0.01729 -0.74994 0.00461 -1.74881 0.00925 0.56182 0.00635 -1.44945 0.01793 0.36476 0.00663 -0.63410 0.01040 -1.97023 0.00362 -3.98150 0.01716 -2.16729 0.00409 -3.16616 0.00900 -2.01127 0.01748 -0.19706 0.00527 -1.19593 0.00960 1.81421 0.01758 0.81535 0.01932 -0.99887 0.00978
2460492.4116667 0.75422 0.00330 -0.55967 0.00432 -2.59343 0.01784 -0.75964 0.00474 -1.75247 0.00897 0.55811 0.00642 -1.47565 0.01846 0.35814 0.00671 -0.63469 0.01015 -1.96507 0.00374 -3.99883 0.01770 -2.16504 0.00422 -3.15786 0.00871 -2.03376 0.01803 -0.19997 0.00544 -1.19280 0.00936 1.83379 0.01814 0.84096 0.01967 -0.99283 0.00956
