JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C1-K1 s6 C1-K2 s7 C1-K3 s8 C1-K4 s9 C2-K1 s10 C2-K2 s11 C2-K3 s12 C2-K4 s13 K1-K2 s14 K1-K3 s15 K1-K4 s16 K2-K3 s17 K2-K4 s18 K3-K4 s19
Aperture: 6, Filter: L, JD: geocentric
2460492.4769097 0.76529 0.00297 -0.55625 0.00381 -2.58572 0.01532 -0.75589 0.00416 -1.71753 0.00810 0.56820 0.00569 -1.46127 0.01590 0.36856 0.00593 -0.59308 0.00914 -1.97444 0.00327 -4.00391 0.01520 -2.17408 0.00367 -3.13572 0.00787 -2.02947 0.01549 -0.19964 0.00472 -1.16128 0.00841 1.82983 0.01558 0.86819 0.01706 -0.96164 0.00857
2460492.4783565 0.77346 0.00298 -0.55921 0.00383 -2.53090 0.01498 -0.75459 0.00415 -1.71273 0.00800 0.55385 0.00576 -1.41784 0.01558 0.35847 0.00597 -0.59967 0.00908 -1.98527 0.00331 -3.95696 0.01485 -2.18064 0.00367 -3.13879 0.00776 -1.97169 0.01516 -0.19538 0.00475 -1.15352 0.00833 1.77631 0.01524 0.81817 0.01670 -0.95815 0.00848
2460492.4798148 0.76888 0.00295 -0.55599 0.00380 -2.54718 0.01498 -0.74928 0.00418 -1.70612 0.00809 0.55270 0.00567 -1.43848 0.01556 0.35942 0.00594 -0.59743 0.00912 -1.97660 0.00327 -3.96778 0.01485 -2.16988 0.00371 -3.12673 0.00786 -1.99119 0.01515 -0.19328 0.00475 -1.15013 0.00840 1.79790 0.01525 0.84106 0.01675 -0.95684 0.00858
2460492.4812500 0.79493 0.00292 -0.52879 0.00378 -2.53091 0.01516 -0.73023 0.00411 -1.68913 0.00796 0.56297 0.00555 -1.43916 0.01569 0.36152 0.00578 -0.59738 0.00894 -1.97633 0.00324 -3.97846 0.01503 -2.17778 0.00362 -3.13668 0.00772 -2.00213 0.01532 -0.20144 0.00467 -1.16034 0.00827 1.80068 0.01540 0.84178 0.01685 -0.95890 0.00842
2460492.4827083 0.79143 0.00289 -0.53126 0.00375 -2.55965 0.01502 -0.71463 0.00404 -1.68981 0.00792 0.54942 0.00550 -1.47896 0.01555 0.36605 0.00570 -0.60913 0.00888 -1.97388 0.00323 -4.00226 0.01490 -2.15725 0.00355 -3.13243 0.00768 -2.02838 0.01519 -0.18337 0.00461 -1.15855 0.00822 1.84501 0.01526 0.86984 0.01671 -0.97518 0.00836
2460492.4841551 0.80448 0.00290 -0.52317 0.00377 -2.54101 0.01454 -0.71488 0.00403 -1.68677 0.00789 0.56079 0.00546 -1.45705 0.01507 0.36909 0.00565 -0.60281 0.00883 -1.98043 0.00323 -3.99826 0.01441 -2.17213 0.00353 -3.14403 0.00765 -2.01783 0.01470 -0.19170 0.00459 -1.16360 0.00819 1.82613 0.01478 0.85423 0.01626 -0.97190 0.00832
2460492.4856019 0.80508 0.00292 -0.52212 0.00374 -2.52212 0.01440 -0.71272 0.00406 -1.68025 0.00788 0.56112 0.00550 -1.43888 0.01496 0.37052 0.00572 -0.59701 0.00885 -1.97997 0.00320 -3.97997 0.01427 -2.17057 0.00356 -3.13810 0.00764 -2.00000 0.01456 -0.19060 0.00459 -1.15813 0.00817 1.80940 0.01465 0.84187 0.01613 -0.96753 0.00832
2460492.4870486 0.81249 0.00296 -0.50615 0.00380 -2.50038 0.01461 -0.69634 0.00414 -1.67595 0.00803 0.57154 0.00561 -1.42270 0.01518 0.38134 0.00585 -0.59827 0.00903 -1.97158 0.00325 -3.96582 0.01448 -2.16178 0.00365 -3.14139 0.00779 -1.99424 0.01477 -0.19020 0.00469 -1.16980 0.00833 1.80404 0.01487 0.82443 0.01638 -0.97961 0.00849
2460492.4884954 0.81087 0.00295 -0.51404 0.00382 -2.50839 0.01453 -0.69351 0.00414 -1.68713 0.00810 0.56191 0.00555 -1.43245 0.01508 0.38244 0.00578 -0.61118 0.00905 -1.97753 0.00326 -3.97188 0.01440 -2.15699 0.00363 -3.15062 0.00786 -1.99435 0.01470 -0.17947 0.00469 -1.17309 0.00840 1.81489 0.01479 0.82126 0.01635 -0.99362 0.00855
2460492.4906829 0.83284 0.00291 -0.49080 0.00373 -2.47705 0.01423 -0.68664 0.00400 -1.64494 0.00758 0.56708 0.00546 -1.41917 0.01478 0.37124 0.00564 -0.58706 0.00857 -1.97664 0.00317 -3.96289 0.01409 -2.17248 0.00348 -3.13078 0.00732 -1.98625 0.01438 -0.19584 0.00452 -1.15414 0.00787 1.79041 0.01446 0.83211 0.01583 -0.95830 0.00800
2460492.4921412 0.82785 0.00289 -0.50147 0.00372 -2.47232 0.01394 -0.69285 0.00402 -1.65395 0.00758 0.55773 0.00540 -1.41313 0.01448 0.36634 0.00561 -0.59476 0.00853 -1.98196 0.00316 -3.95282 0.01380 -2.17335 0.00351 -3.13445 0.00732 -1.97085 0.01410 -0.19139 0.00454 -1.15248 0.00787 1.77947 0.01418 0.81837 0.01557 -0.96110 0.00801
2460492.4935995 0.81870 0.00290 -0.50832 0.00369 -2.51222 0.01441 -0.70715 0.00408 -1.67949 0.00756 0.56219 0.00540 -1.44171 0.01495 0.36336 0.00568 -0.60898 0.00853 -1.97987 0.00312 -3.98377 0.01428 -2.17870 0.00358 -3.15105 0.00730 -2.00390 0.01456 -0.19883 0.00456 -1.17117 0.00783 1.80507 0.01466 0.83273 0.01599 -0.97234 0.00803
2460492.4950463 0.82287 0.00286 -0.50186 0.00372 -2.49677 0.01415 -0.68809 0.00401 -1.66845 0.00765 0.56639 0.00539 -1.42852 0.01468 0.38016 0.00559 -0.60021 0.00858 -1.97776 0.00319 -3.97268 0.01402 -2.16399 0.00352 -3.14436 0.00740 -1.99492 0.01432 -0.18623 0.00456 -1.16660 0.00795 1.80869 0.01439 0.82832 0.01580 -0.98037 0.00809
2460492.4964931 0.84055 0.00288 -0.48407 0.00368 -2.50465 0.01443 -0.67389 0.00399 -1.66613 0.00757 0.56745 0.00533 -1.45312 0.01494 0.37763 0.00555 -0.61461 0.00850 -1.97775 0.00311 -3.99832 0.01430 -2.16756 0.00348 -3.15981 0.00731 -2.02057 0.01457 -0.18982 0.00448 -1.18206 0.00783 1.83075 0.01465 0.83851 0.01600 -0.99224 0.00799
2460492.4979514 0.83119 0.00293 -0.48939 0.00372 -2.50836 0.01470 -0.67475 0.00404 -1.64913 0.00749 0.56996 0.00540 -1.44900 0.01521 0.38460 0.00563 -0.58977 0.00845 -1.97356 0.00314 -3.99252 0.01456 -2.15892 0.00352 -3.13329 0.00721 -2.01897 0.01483 -0.18536 0.00452 -1.15974 0.00775 1.83361 0.01492 0.85923 0.01619 -0.97438 0.00791
2460492.4993866 0.84421 0.00294 -0.48389 0.00373 -2.48863 0.01425 -0.67269 0.00412 -1.64972 0.00768 0.56464 0.00546 -1.44010 0.01480 0.37584 0.00573 -0.60118 0.00865 -1.98129 0.00315 -3.98603 0.01411 -2.17009 0.00361 -3.14712 0.00742 -2.00473 0.01440 -0.18880 0.00460 -1.16582 0.00795 1.81594 0.01451 0.83891 0.01589 -0.97702 0.00814
2460492.5008449 0.84252 0.00291 -0.48613 0.00375 -2.46402 0.01384 -0.68541 0.00406 -1.64664 0.00771 0.55904 0.00538 -1.41885 0.01437 0.35977 0.00560 -0.60147 0.00862 -1.98135 0.00318 -3.95924 0.01370 -2.18063 0.00354 -3.14186 0.00745 -1.97789 0.01400 -0.19928 0.00457 -1.16051 0.00799 1.77861 0.01408 0.81738 0.01553 -0.96124 0.00814
2460492.5023032 0.84417 0.00293 -0.47909 0.00375 -2.48626 0.01516 -0.67936 0.00416 -1.64907 0.00786 0.56937 0.00550 -1.43779 0.01568 0.36911 0.00578 -0.60061 0.00883 -1.97644 0.00319 -3.98360 0.01503 -2.17670 0.00366 -3.14642 0.00760 -2.00716 0.01531 -0.20026 0.00467 -1.16998 0.00814 1.80690 0.01541 0.83719 0.01679 -0.96971 0.00833
2460492.5037500 0.84524 0.00295 -0.47515 0.00376 -2.49657 0.01489 -0.65954 0.00405 -1.63709 0.00763 0.56260 0.00543 -1.45882 0.01540 0.37821 0.00564 -0.59934 0.00859 -1.97264 0.00317 -3.99406 0.01475 -2.15703 0.00351 -3.13458 0.00737 -2.02142 0.01503 -0.18439 0.00454 -1.16194 0.00790 1.83703 0.01511 0.85948 0.01643 -0.97755 0.00805
2460492.5051968 0.84860 0.00295 -0.47925 0.00382 -2.47933 0.01450 -0.66619 0.00415 -1.65795 0.00805 0.56401 0.00547 -1.43606 0.01502 0.37708 0.00571 -0.61468 0.00895 -1.98096 0.00323 -3.98103 0.01436 -2.16789 0.00362 -3.15966 0.00779 -2.00007 0.01466 -0.18693 0.00467 -1.17870 0.00833 1.81314 0.01475 0.82138 0.01628 -0.99176 0.00849
2460492.5066435 0.84715 0.00292 -0.48044 0.00376 -2.49481 0.01464 -0.67042 0.00411 -1.65200 0.00757 0.56018 0.00540 -1.45419 0.01515 0.37021 0.00565 -0.61137 0.00851 -1.98030 0.00318 -3.99468 0.01451 -2.17028 0.00359 -3.15186 0.00731 -2.01437 0.01479 -0.18998 0.00461 -1.17156 0.00786 1.82440 0.01488 0.84282 0.01619 -0.98158 0.00803
2460492.5080903 0.83031 0.00289 -0.49667 0.00372 -2.48908 0.01465 -0.68372 0.00399 -1.66749 0.00770 0.56275 0.00545 -1.42966 0.01518 0.37570 0.00563 -0.60807 0.00867 -1.97988 0.00318 -3.97229 0.01452 -2.16693 0.00349 -3.15070 0.00746 -1.99241 0.01481 -0.18705 0.00453 -1.17082 0.00800 1.80536 0.01487 0.82159 0.01627 -0.98377 0.00812
2460492.5095255 0.83158 0.00288 -0.50614 0.00370 -2.49064 0.01413 -0.68277 0.00407 -1.67234 0.00779 0.54843 0.00530 -1.43607 0.01463 0.37180 0.00556 -0.61777 0.00867 -1.99027 0.00314 -3.97478 0.01399 -2.16691 0.00356 -3.15648 0.00754 -1.98451 0.01428 -0.17663 0.00456 -1.16621 0.00806 1.80787 0.01438 0.81830 0.01584 -0.98957 0.00823
2460492.5117245 0.81773 0.00284 -0.51095 0.00370 -2.54411 0.01467 -0.69182 0.00392 -1.67137 0.00764 0.57027 0.00531 -1.46289 0.01515 0.38940 0.00547 -0.59015 0.00854 -1.98247 0.00316 -4.01563 0.01454 -2.16334 0.00342 -3.14289 0.00740 -2.03316 0.01482 -0.18087 0.00446 -1.16042 0.00794 1.85229 0.01488 0.87274 0.01626 -0.97955 0.00804
2460492.5131713 0.80599 0.00285 -0.51934 0.00363 -2.52351 0.01395 -0.71391 0.00391 -1.68826 0.00755 0.56568 0.00534 -1.43849 0.01449 0.37111 0.00554 -0.60325 0.00850 -1.97835 0.00309 -3.98252 0.01382 -2.17292 0.00342 -3.14728 0.00730 -2.00416 0.01410 -0.19457 0.00442 -1.16892 0.00782 1.80960 0.01417 0.83524 0.01557 -0.97436 0.00796
2460492.5146296 0.78932 0.00287 -0.53364 0.00369 -2.54302 0.01428 -0.72578 0.00399 -1.70858 0.00738 0.57682 0.00546 -1.43256 0.01483 0.38469 0.00567 -0.59811 0.00840 -1.97682 0.00316 -3.98620 0.01415 -2.16896 0.00351 -3.15176 0.00713 -2.00938 0.01444 -0.19214 0.00454 -1.17494 0.00769 1.81724 0.01452 0.83444 0.01579 -0.98280 0.00784
2460492.5160648 0.76724 0.00284 -0.55222 0.00367 -2.56287 0.01444 -0.74338 0.00395 -1.73006 0.00762 0.56378 0.00539 -1.44688 0.01497 0.37261 0.00559 -0.61407 0.00858 -1.97173 0.00315 -3.98239 0.01432 -2.16290 0.00348 -3.14958 0.00738 -2.01066 0.01460 -0.19117 0.00450 -1.17784 0.00792 1.81949 0.01468 0.83281 0.01606 -0.98668 0.00805
2460492.5175231 0.75312 0.00282 -0.57856 0.00363 -2.59725 0.01445 -0.75869 0.00395 -1.73722 0.00792 0.57067 0.00540 -1.44802 0.01499 0.39054 0.00562 -0.58799 0.00887 -1.98578 0.00313 -4.00448 0.01433 -2.16591 0.00350 -3.14444 0.00770 -2.01870 0.01461 -0.18013 0.00450 -1.15867 0.00821 1.83856 0.01469 0.86003 0.01622 -0.97853 0.00836
2460492.5189699 0.71975 0.00282 -0.60288 0.00364 -2.59937 0.01464 -0.78769 0.00396 -1.77223 0.00791 0.56673 0.00546 -1.42976 0.01520 0.38192 0.00567 -0.60262 0.00889 -1.97549 0.00316 -3.97199 0.01453 -2.16030 0.00352 -3.14485 0.00770 -1.99650 0.01481 -0.18481 0.00454 -1.16936 0.00822 1.81168 0.01489 0.82714 0.01639 -0.98454 0.00836
2460492.5204282 0.71382 0.00286 -0.61584 0.00375 -2.62037 0.01458 -0.79864 0.00406 -1.79476 0.00793 0.55597 0.00557 -1.44856 0.01515 0.37317 0.00578 -0.62295 0.00894 -1.98216 0.00327 -3.98669 0.01446 -2.16496 0.00361 -3.16108 0.00771 -2.00454 0.01477 -0.18280 0.00468 -1.17893 0.00827 1.82173 0.01485 0.82561 0.01633 -0.99612 0.00841
2460492.5218750 0.71342 0.00288 -0.62317 0.00376 -2.61320 0.01493 -0.80291 0.00409 -1.77103 0.00811 0.55522 0.00561 -1.43481 0.01550 0.37548 0.00583 -0.59264 0.00912 -1.98968 0.00328 -3.97972 0.01482 -2.16943 0.00364 -3.13755 0.00790 -1.99003 0.01511 -0.17974 0.00471 -1.14786 0.00844 1.81029 0.01520 0.84217 0.01674 -0.96812 0.00859
2460492.5233218 0.70944 0.00285 -0.61261 0.00378 -2.59837 0.01498 -0.80271 0.00406 -1.79169 0.00790 0.57368 0.00556 -1.41208 0.01553 0.38358 0.00575 -0.60540 0.00889 -1.97552 0.00330 -3.96129 0.01487 -2.16562 0.00361 -3.15460 0.00768 -1.98576 0.01517 -0.19010 0.00470 -1.17908 0.00825 1.79566 0.01524 0.80668 0.01668 -0.98898 0.00838
2460492.5247685 0.71438 0.00286 -0.61370 0.00378 -2.62785 0.01508 -0.79781 0.00403 -1.77811 0.00808 0.56260 0.00558 -1.45155 0.01563 0.37849 0.00575 -0.60182 0.00907 -1.98107 0.00330 -3.99522 0.01497 -2.16518 0.00358 -3.14548 0.00787 -2.01415 0.01527 -0.18411 0.00467 -1.16441 0.00842 1.83004 0.01533 0.84973 0.01686 -0.98031 0.00854
2460492.5262153 0.71912 0.00288 -0.59909 0.00369 -2.58636 0.01520 -0.78568 0.00408 -1.79190 0.00835 0.57248 0.00555 -1.41479 0.01576 0.38589 0.00581 -0.62033 0.00932 -1.97121 0.00318 -3.95848 0.01509 -2.15780 0.00363 -3.16402 0.00813 -1.98727 0.01536 -0.18659 0.00464 -1.19281 0.00863 1.80068 0.01546 0.79446 0.01709 -1.00622 0.00881
2460492.5276620 0.73374 0.00287 -0.59459 0.00375 -2.61112 0.01454 -0.77882 0.00408 -1.76547 0.00826 0.55905 0.00558 -1.45748 0.01512 0.37482 0.00581 -0.61183 0.00924 -1.98101 0.00326 -3.99754 0.01443 -2.16524 0.00364 -3.15189 0.00805 -2.01653 0.01473 -0.18423 0.00470 -1.17088 0.00858 1.83230 0.01482 0.84565 0.01646 -0.98665 0.00873
2460492.5291088 0.74550 0.00288 -0.57702 0.00372 -2.59012 0.01509 -0.76662 0.00409 -1.75091 0.00782 0.57538 0.00548 -1.43772 0.01562 0.38578 0.00574 -0.59851 0.00880 -1.97620 0.00319 -3.98930 0.01497 -2.16580 0.00363 -3.15009 0.00759 -2.01310 0.01525 -0.18959 0.00464 -1.17389 0.00812 1.82350 0.01534 0.83921 0.01673 -0.98430 0.00830
2460492.5305556 0.75748 0.00288 -0.56903 0.00376 -2.54533 0.01414 -0.75520 0.00406 -1.74475 0.00825 0.55797 0.00547 -1.41833 0.01469 0.37179 0.00568 -0.61775 0.00916 -1.97890 0.00323 -3.95520 0.01401 -2.16508 0.00358 -3.15462 0.00802 -1.97630 0.01432 -0.18618 0.00463 -1.17572 0.00855 1.79013 0.01440 0.80058 0.01609 -0.98955 0.00868
2460492.5327546 0.77329 0.00289 -0.54902 0.00378 -2.55476 0.01489 -0.73242 0.00409 -1.72017 0.00784 0.56640 0.00552 -1.43933 0.01543 0.38300 0.00574 -0.60475 0.00881 -1.97511 0.00326 -3.98084 0.01477 -2.15851 0.00362 -3.14626 0.00760 -2.00573 0.01506 -0.18340 0.00468 -1.17115 0.00816 1.82233 0.01514 0.83459 0.01655 -0.98775 0.00831
2460492.5342014 0.78279 0.00297 -0.54218 0.00384 -2.53174 0.01402 -0.73193 0.00413 -1.71073 0.00805 0.56911 0.00570 -1.42045 0.01465 0.37936 0.00590 -0.59944 0.00909 -1.97829 0.00330 -3.96785 0.01389 -2.16803 0.00364 -3.14683 0.00781 -1.98956 0.01421 -0.18975 0.00472 -1.16855 0.00837 1.79981 0.01429 0.82101 0.01587 -0.97880 0.00850
2460492.5356366 0.79701 0.00294 -0.53505 0.00384 -2.52216 0.01530 -0.71938 0.00409 -1.71164 0.00823 0.55120 0.00559 -1.43591 0.01583 0.36687 0.00577 -0.62539 0.00918 -1.98434 0.00329 -3.97145 0.01518 -2.16867 0.00359 -3.16093 0.00799 -1.98712 0.01547 -0.18433 0.00468 -1.17660 0.00853 1.80278 0.01554 0.81052 0.01710 -0.99226 0.00865
2460492.5370949 0.81296 0.00297 -0.51839 0.00387 -2.54669 0.01596 -0.69352 0.00414 -1.68175 0.00794 0.55300 0.00560 -1.47530 0.01646 0.37786 0.00579 -0.61036 0.00891 -1.98373 0.00331 -4.01203 0.01583 -2.15887 0.00362 -3.14709 0.00768 -2.02830 0.01611 -0.17513 0.00472 -1.16336 0.00826 1.85316 0.01618 0.86494 0.01754 -0.98823 0.00839
2460492.5385417 0.82572 0.00297 -0.49474 0.00381 -2.50981 0.01523 -0.68641 0.00415 -1.65647 0.00774 0.57854 0.00561 -1.43653 0.01578 0.38687 0.00585 -0.58318 0.00877 -1.97425 0.00324 -3.98932 0.01510 -2.16592 0.00363 -3.13597 0.00748 -2.01507 0.01539 -0.19167 0.00468 -1.16172 0.00804 1.82340 0.01547 0.85335 0.01680 -0.97005 0.00820
2460492.5399884 0.82835 0.00297 -0.49560 0.00377 -2.45941 0.01419 -0.70085 0.00410 -1.67715 0.00790 0.56820 0.00554 -1.39561 0.01476 0.36294 0.00578 -0.61336 0.00889 -1.97708 0.00319 -3.94089 0.01404 -2.18233 0.00358 -3.15863 0.00764 -1.96381 0.01434 -0.20526 0.00460 -1.18155 0.00817 1.75855 0.01443 0.78226 0.01593 -0.97630 0.00833
2460492.5414352 0.82352 0.00294 -0.49308 0.00374 -2.48568 0.01503 -0.68519 0.00405 -1.65611 0.00785 0.57407 0.00552 -1.41853 0.01557 0.38196 0.00574 -0.58896 0.00884 -1.96960 0.00318 -3.96220 0.01490 -2.16171 0.00354 -3.13263 0.00760 -1.99260 0.01518 -0.19211 0.00457 -1.16303 0.00813 1.80049 0.01526 0.82957 0.01667 -0.97092 0.00828
2460492.5428935 0.83882 0.00293 -0.48026 0.00373 -2.46799 0.01442 -0.67734 0.00410 -1.64510 0.00774 0.56917 0.00545 -1.41857 0.01496 0.37209 0.00571 -0.59568 0.00870 -1.97183 0.00315 -3.95957 0.01428 -2.16891 0.00358 -3.13667 0.00748 -1.98773 0.01457 -0.19708 0.00458 -1.16484 0.00801 1.79065 0.01466 0.82289 0.01607 -0.96776 0.00819
2460492.5443403 0.84452 0.00291 -0.47527 0.00369 -2.48947 0.01445 -0.67419 0.00407 -1.64041 0.00773 0.56891 0.00539 -1.44529 0.01497 0.36999 0.00565 -0.59623 0.00867 -1.97260 0.00311 -3.98680 0.01431 -2.17152 0.00355 -3.13774 0.00747 -2.01420 0.01459 -0.19892 0.00454 -1.16514 0.00798 1.81528 0.01469 0.84906 0.01609 -0.96622 0.00817
2460492.5457870 0.84786 0.00290 -0.48604 0.00374 -2.46844 0.01432 -0.65963 0.00401 -1.65959 0.00799 0.55599 0.00543 -1.42642 0.01485 0.38239 0.00562 -0.61757 0.00890 -1.98681 0.00319 -3.96921 0.01418 -2.16041 0.00350 -3.16037 0.00774 -1.98240 0.01448 -0.17359 0.00454 -1.17355 0.00827 1.80881 0.01455 0.80885 0.01611 -0.99996 0.00839
2460492.5472222 0.85762 0.00290 -0.46146 0.00372 -2.47786 0.01438 -0.66179 0.00407 -1.66115 0.00820 0.56643 0.00532 -1.44996 0.01487 0.36610 0.00557 -0.63326 0.00904 -1.97158 0.00315 -3.98797 0.01424 -2.17191 0.00355 -3.17126 0.00795 -2.01639 0.01452 -0.20033 0.00455 -1.19969 0.00845 1.81606 0.01462 0.81671 0.01626 -0.99936 0.00861
2460492.5486806 0.85514 0.00291 -0.46787 0.00370 -2.47963 0.01413 -0.66479 0.00402 -1.64202 0.00763 0.56319 0.00539 -1.44856 0.01466 0.36627 0.00562 -0.61096 0.00858 -1.97558 0.00312 -3.98733 0.01399 -2.17249 0.00350 -3.14972 0.00737 -2.01175 0.01427 -0.19692 0.00450 -1.17415 0.00789 1.81483 0.01436 0.83760 0.01575 -0.97723 0.00805
2460492.5501273 0.85535 0.00286 -0.46868 0.00366 -2.50062 0.01448 -0.67000 0.00396 -1.65166 0.00792 0.56684 0.00532 -1.46510 0.01499 0.36552 0.00553 -0.61614 0.00881 -1.97704 0.00310 -4.00898 0.01435 -2.17836 0.00345 -3.16001 0.00767 -2.03194 0.01463 -0.20133 0.00445 -1.18298 0.00818 1.83061 0.01470 0.84896 0.01622 -0.98165 0.00831
2460492.5515741 0.85651 0.00285 -0.46975 0.00363 -2.47431 0.01360 -0.66538 0.00395 -1.62997 0.00766 0.56405 0.00522 -1.44051 0.01411 0.36842 0.00546 -0.59616 0.00853 -1.97922 0.00305 -3.98378 0.01346 -2.17485 0.00343 -3.13944 0.00740 -2.00456 0.01374 -0.19563 0.00441 -1.16021 0.00790 1.80893 0.01383 0.84434 0.01530 -0.96459 0.00806
2460492.5537616 0.85921 0.00283 -0.45259 0.00358 -2.45186 0.01374 -0.65957 0.00397 -1.64217 0.00759 0.58623 0.00514 -1.41304 0.01423 0.37924 0.00541 -0.60335 0.00844 -1.96550 0.00300 -3.96476 0.01360 -2.17248 0.00345 -3.15508 0.00733 -1.99926 0.01387 -0.20698 0.00439 -1.18958 0.00782 1.79228 0.01397 0.80968 0.01540 -0.98260 0.00800
2460492.5552083 0.85797 0.00285 -0.46062 0.00362 -2.48983 0.01416 -0.65432 0.00391 -1.64712 0.00742 0.56258 0.00527 -1.46663 0.01467 0.36888 0.00548 -0.62393 0.00836 -1.97066 0.00306 -3.99988 0.01403 -2.16437 0.00340 -3.15717 0.00717 -2.02921 0.01430 -0.19370 0.00439 -1.18651 0.00769 1.83551 0.01438 0.84271 0.01570 -0.99280 0.00782
2460492.5566667 0.84894 0.00279 -0.48548 0.00358 -2.46024 0.01366 -0.67374 0.00395 -1.64853 0.00751 0.55586 0.00511 -1.41891 0.01414 0.36759 0.00537 -0.60719 0.00835 -1.98737 0.00303 -3.96213 0.01353 -2.17563 0.00345 -3.15042 0.00726 -1.97477 0.01380 -0.18827 0.00441 -1.16305 0.00776 1.78650 0.01390 0.81171 0.01530 -0.97479 0.00794
2460492.5581134 0.85146 0.00283 -0.47887 0.00360 -2.47504 0.01384 -0.66527 0.00387 -1.64021 0.00721 0.56289 0.00526 -1.43328 0.01436 0.37649 0.00545 -0.59845 0.00817 -1.98357 0.00304 -3.97973 0.01370 -2.16997 0.00336 -3.14491 0.00695 -1.99617 0.01398 -0.18640 0.00435 -1.16134 0.00748 1.80976 0.01405 0.83483 0.01531 -0.97494 0.00762
2460492.5595602 0.83663 0.00285 -0.48732 0.00360 -2.48563 0.01377 -0.67715 0.00394 -1.64451 0.00739 0.56802 0.00533 -1.43029 0.01432 0.37819 0.00557 -0.58917 0.00838 -1.97706 0.00305 -3.97538 0.01364 -2.16690 0.00344 -3.13425 0.00714 -1.99832 0.01391 -0.18984 0.00441 -1.15719 0.00766 1.80848 0.01400 0.84113 0.01534 -0.96735 0.00782
2460492.5610069 0.82127 0.00276 -0.49727 0.00358 -2.51526 0.01426 -0.70151 0.00391 -1.66589 0.00744 0.57016 0.00516 -1.44782 0.01474 0.36593 0.00539 -0.59845 0.00832 -1.97135 0.00305 -3.98933 0.01414 -2.17558 0.00343 -3.13996 0.00720 -2.01799 0.01441 -0.20423 0.00441 -1.16862 0.00772 1.81375 0.01449 0.84937 0.01582 -0.96438 0.00787
2460492.5624537 0.81261 0.00280 -0.51225 0.00364 -2.51422 0.01382 -0.70347 0.00395 -1.66778 0.00747 0.55987 0.00525 -1.44211 0.01433 0.36864 0.00546 -0.59567 0.00837 -1.97727 0.00311 -3.97924 0.01369 -2.16850 0.00347 -3.13281 0.00723 -2.00197 0.01398 -0.19123 0.00448 -1.15554 0.00776 1.81075 0.01406 0.84644 0.01543 -0.96431 0.00791
2460492.5639005 0.78548 0.00278 -0.53271 0.00359 -2.55153 0.01421 -0.72156 0.00391 -1.70550 0.00739 0.56309 0.00523 -1.45573 0.01471 0.37424 0.00545 -0.60970 0.00831 -1.97028 0.00307 -3.98909 0.01409 -2.15913 0.00344 -3.14306 0.00715 -2.01882 0.01436 -0.18885 0.00443 -1.17278 0.00767 1.82997 0.01445 0.84603 0.01575 -0.98393 0.00783
2460492.5653472 0.76665 0.00282 -0.55899 0.00356 -2.55725 0.01404 -0.75404 0.00394 -1.74113 0.00780 0.57161 0.00536 -1.42665 0.01460 0.37656 0.00561 -0.61053 0.00876 -1.97926 0.00304 -3.97752 0.01392 -2.17432 0.00347 -3.16140 0.00757 -1.99826 0.01419 -0.19506 0.00443 -1.18214 0.00806 1.80321 0.01428 0.81613 0.01579 -0.98708 0.00823
2460492.5667940 0.75448 0.00279 -0.57574 0.00362 -2.59238 0.01385 -0.77092 0.00401 -1.72131 0.00765 0.56285 0.00533 -1.45379 0.01439 0.36767 0.00560 -0.58271 0.00859 -1.98345 0.00313 -4.00009 0.01373 -2.17863 0.00356 -3.12901 0.00743 -2.01664 0.01402 -0.19518 0.00456 -1.14556 0.00795 1.82146 0.01413 0.87108 0.01556 -0.95038 0.00813
2460492.5682523 0.72585 0.00280 -0.59910 0.00367 -2.57870 0.01453 -0.78583 0.00391 -1.75247 0.00767 0.56515 0.00547 -1.41445 0.01508 0.37842 0.00563 -0.58822 0.00868 -1.97789 0.00319 -3.95749 0.01441 -2.16462 0.00347 -3.13126 0.00746 -1.97960 0.01471 -0.18673 0.00453 -1.15337 0.00801 1.79288 0.01477 0.82623 0.01618 -0.96664 0.00812
2460492.5696991 0.71518 0.00278 -0.61005 0.00359 -2.59755 0.01439 -0.79615 0.00390 -1.79005 0.00772 0.57346 0.00539 -1.41404 0.01494 0.38736 0.00561 -0.60654 0.00870 -1.97899 0.00312 -3.96649 0.01428 -2.16509 0.00347 -3.15899 0.00751 -1.98750 0.01456 -0.18610 0.00448 -1.18000 0.00802 1.80140 0.01464 0.80750 0.01608 -0.99390 0.00817
2460492.5711343 0.69184 0.00280 -0.62481 0.00364 -2.60460 0.01418 -0.81365 0.00395 -1.80875 0.00791 0.57575 0.00551 -1.40404 0.01477 0.38691 0.00572 -0.60819 0.00892 -1.96981 0.00318 -3.94959 0.01407 -2.15864 0.00353 -3.15375 0.00771 -1.97979 0.01436 -0.18883 0.00457 -1.18394 0.00823 1.79095 0.01444 0.79585 0.01598 -0.99510 0.00837
2460492.5725926 0.68919 0.00281 -0.63633 0.00367 -2.59692 0.01426 -0.81886 0.00392 -1.79424 0.00780 0.55934 0.00552 -1.40125 0.01485 0.37681 0.00569 -0.59857 0.00882 -1.97795 0.00321 -3.93854 0.01415 -2.16048 0.00349 -3.13586 0.00759 -1.96059 0.01445 -0.18253 0.00456 -1.15791 0.00814 1.77806 0.01452 0.80268 0.01601 -0.97538 0.00825
