JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 K1-K2 s8
Aperture: 6, Filter: L, JD: geocentric


2460492.4964931 0.84055 0.00288 -0.48407 0.00368 -1.66613 0.00757 0.56745 0.00533 -0.61461 0.00850 -1.97775 0.00311 -3.15981 0.00731 -1.18206 0.00783
2460492.4979514 0.83119 0.00293 -0.48939 0.00372 -1.64913 0.00749 0.56996 0.00540 -0.58977 0.00845 -1.97356 0.00314 -3.13329 0.00721 -1.15974 0.00775
2460492.4993866 0.84421 0.00294 -0.48389 0.00373 -1.64972 0.00768 0.56464 0.00546 -0.60118 0.00865 -1.98129 0.00315 -3.14712 0.00742 -1.16582 0.00795
2460492.5008449 0.84252 0.00291 -0.48613 0.00375 -1.64664 0.00771 0.55904 0.00538 -0.60147 0.00862 -1.98135 0.00318 -3.14186 0.00745 -1.16051 0.00799
2460492.5023032 0.84417 0.00293 -0.47909 0.00375 -1.64907 0.00786 0.56937 0.00550 -0.60061 0.00883 -1.97644 0.00319 -3.14642 0.00760 -1.16998 0.00814
2460492.5037500 0.84524 0.00295 -0.47515 0.00376 -1.63709 0.00763 0.56260 0.00543 -0.59934 0.00859 -1.97264 0.00317 -3.13458 0.00737 -1.16194 0.00790
2460492.5051968 0.84860 0.00295 -0.47925 0.00382 -1.65795 0.00805 0.56401 0.00547 -0.61468 0.00895 -1.98096 0.00323 -3.15966 0.00779 -1.17870 0.00833
2460492.5066435 0.84715 0.00292 -0.48044 0.00376 -1.65200 0.00757 0.56018 0.00540 -0.61137 0.00851 -1.98030 0.00318 -3.15186 0.00731 -1.17156 0.00786
2460492.5080903 0.83031 0.00289 -0.49667 0.00372 -1.66749 0.00770 0.56275 0.00545 -0.60807 0.00867 -1.97988 0.00318 -3.15070 0.00746 -1.17082 0.00800
2460492.5095255 0.83158 0.00288 -0.50614 0.00370 -1.67234 0.00779 0.54843 0.00530 -0.61777 0.00867 -1.99027 0.00314 -3.15648 0.00754 -1.16621 0.00806
2460492.5117245 0.81773 0.00284 -0.51095 0.00370 -1.67137 0.00764 0.57027 0.00531 -0.59015 0.00854 -1.98247 0.00316 -3.14289 0.00740 -1.16042 0.00794
2460492.5131713 0.80599 0.00285 -0.51934 0.00363 -1.68826 0.00755 0.56568 0.00534 -0.60325 0.00850 -1.97835 0.00309 -3.14728 0.00730 -1.16892 0.00782
2460492.5146296 0.78932 0.00287 -0.53364 0.00369 -1.70858 0.00738 0.57682 0.00546 -0.59811 0.00840 -1.97682 0.00316 -3.15176 0.00713 -1.17494 0.00769
2460492.5160648 0.76724 0.00284 -0.55222 0.00367 -1.73006 0.00762 0.56378 0.00539 -0.61407 0.00858 -1.97173 0.00315 -3.14958 0.00738 -1.17784 0.00792
2460492.5175231 0.75312 0.00282 -0.57856 0.00363 -1.73722 0.00792 0.57067 0.00540 -0.58799 0.00887 -1.98578 0.00313 -3.14444 0.00770 -1.15867 0.00821
2460492.5189699 0.71975 0.00282 -0.60288 0.00364 -1.77223 0.00791 0.56673 0.00546 -0.60262 0.00889 -1.97549 0.00316 -3.14485 0.00770 -1.16936 0.00822
2460492.5204282 0.71382 0.00286 -0.61584 0.00375 -1.79476 0.00793 0.55597 0.00557 -0.62295 0.00894 -1.98216 0.00327 -3.16108 0.00771 -1.17893 0.00827
2460492.5218750 0.71342 0.00288 -0.62317 0.00376 -1.77103 0.00811 0.55522 0.00561 -0.59264 0.00912 -1.98968 0.00328 -3.13755 0.00790 -1.14786 0.00844
2460492.5233218 0.70944 0.00285 -0.61261 0.00378 -1.79169 0.00790 0.57368 0.00556 -0.60540 0.00889 -1.97552 0.00330 -3.15460 0.00768 -1.17908 0.00825
2460492.5247685 0.71438 0.00286 -0.61370 0.00378 -1.77811 0.00808 0.56260 0.00558 -0.60182 0.00907 -1.98107 0.00330 -3.14548 0.00787 -1.16441 0.00842
2460492.5262153 0.71912 0.00288 -0.59909 0.00369 -1.79190 0.00835 0.57248 0.00555 -0.62033 0.00932 -1.97121 0.00318 -3.16402 0.00813 -1.19281 0.00863
2460492.5276620 0.73374 0.00287 -0.59459 0.00375 -1.76547 0.00826 0.55905 0.00558 -0.61183 0.00924 -1.98101 0.00326 -3.15189 0.00805 -1.17088 0.00858
2460492.5291088 0.74550 0.00288 -0.57702 0.00372 -1.75091 0.00782 0.57538 0.00548 -0.59851 0.00880 -1.97620 0.00319 -3.15009 0.00759 -1.17389 0.00812
2460492.5305556 0.75748 0.00288 -0.56903 0.00376 -1.74475 0.00825 0.55797 0.00547 -0.61775 0.00916 -1.97890 0.00323 -3.15462 0.00802 -1.17572 0.00855
2460492.5327546 0.77329 0.00289 -0.54902 0.00378 -1.72017 0.00784 0.56640 0.00552 -0.60475 0.00881 -1.97511 0.00326 -3.14626 0.00760 -1.17115 0.00816
2460492.5342014 0.78279 0.00297 -0.54218 0.00384 -1.71073 0.00805 0.56911 0.00570 -0.59944 0.00909 -1.97829 0.00330 -3.14683 0.00781 -1.16855 0.00837
