JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 K1-K2 s11 K1-K3 s12 K2-K3 s13
Aperture: 5, Filter: L, JD: geocentric
2460492.5023032 -1.49124 0.00525 -0.47751 0.00341 -1.64808 0.00659 -0.67661 0.00373 0.56923 0.00481 -0.60135 0.00741 0.37012 0.00505 1.77925 0.01010 0.60867 0.01157 1.58014 0.01022 -1.17058 0.00683 -0.19911 0.00415 0.97147 0.00700
2460492.5066435 -1.48457 0.00509 -0.48145 0.00341 -1.64898 0.00638 -0.67191 0.00370 0.56266 0.00476 -0.60488 0.00719 0.37220 0.00496 1.75639 0.00968 0.58885 0.01108 1.56593 0.00978 -1.16754 0.00663 -0.19046 0.00412 0.97707 0.00678
2460492.5117245 -1.51776 0.00494 -0.51147 0.00334 -1.66923 0.00637 -0.69199 0.00354 0.56972 0.00465 -0.58805 0.00714 0.38920 0.00479 1.74799 0.00940 0.59023 0.01085 1.56747 0.00947 -1.15776 0.00663 -0.18052 0.00399 0.97724 0.00673
2460492.5131713 -1.52687 0.00502 -0.51989 0.00330 -1.69247 0.00633 -0.71469 0.00354 0.56587 0.00468 -0.60672 0.00715 0.37107 0.00485 1.76220 0.00959 0.58962 0.01101 1.56741 0.00967 -1.17259 0.00658 -0.19480 0.00396 0.97779 0.00670
2460492.5160648 -1.55780 0.00503 -0.55433 0.00332 -1.72433 0.00635 -0.74234 0.00356 0.56161 0.00472 -0.60839 0.00718 0.37360 0.00488 1.76097 0.00965 0.59097 0.01106 1.57295 0.00973 -1.17000 0.00662 -0.18801 0.00402 0.98199 0.00674
2460492.5204282 -1.62004 0.00529 -0.61470 0.00339 -1.79119 0.00661 -0.79842 0.00364 0.55616 0.00487 -0.62034 0.00748 0.37243 0.00505 1.78525 0.01034 0.60875 0.01179 1.60152 0.01042 -1.17649 0.00692 -0.18373 0.00417 0.99277 0.00704
2460492.5262153 -1.61039 0.00524 -0.59749 0.00334 -1.78500 0.00687 -0.78552 0.00366 0.57443 0.00484 -0.61308 0.00771 0.38640 0.00506 1.76022 0.01015 0.57271 0.01179 1.57219 0.01026 -1.18751 0.00714 -0.18803 0.00413 0.99948 0.00729
2460492.5305556 -1.56972 0.00520 -0.57042 0.00339 -1.74081 0.00681 -0.75325 0.00364 0.55603 0.00478 -0.61437 0.00760 0.37320 0.00496 1.76108 0.01009 0.59069 0.01169 1.57825 0.01017 -1.17039 0.00708 -0.18283 0.00412 0.98756 0.00720
2460492.5327546 -1.55297 0.00517 -0.54707 0.00340 -1.71721 0.00651 -0.73119 0.00365 0.56946 0.00481 -0.60067 0.00735 0.38535 0.00499 1.74719 0.00998 0.57705 0.01142 1.56307 0.01007 -1.17014 0.00680 -0.18412 0.00414 0.98602 0.00693
2460492.5342014 -1.54950 0.00529 -0.54113 0.00345 -1.70300 0.00666 -0.73203 0.00369 0.56803 0.00494 -0.59384 0.00754 0.37714 0.00511 1.76129 0.01018 0.59942 0.01167 1.57039 0.01027 -1.16187 0.00694 -0.19090 0.00418 0.97097 0.00706
2460492.5457870 -1.48729 0.00517 -0.48730 0.00340 -1.65887 0.00667 -0.66288 0.00363 0.55544 0.00476 -0.61613 0.00746 0.37987 0.00493 1.76562 0.00993 0.59405 0.01147 1.59004 0.01001 -1.17157 0.00692 -0.17558 0.00407 0.99599 0.00703
2460492.5501273 -1.47418 0.00507 -0.46586 0.00332 -1.64544 0.00656 -0.66752 0.00357 0.56809 0.00465 -0.61149 0.00733 0.36643 0.00483 1.76092 0.00975 0.58134 0.01127 1.55926 0.00983 -1.17958 0.00679 -0.20166 0.00398 0.97792 0.00692
2460492.5515741 -1.47382 0.00502 -0.46876 0.00330 -1.62791 0.00639 -0.66309 0.00356 0.56471 0.00459 -0.59445 0.00714 0.37037 0.00478 1.75801 0.00961 0.59885 0.01106 1.56367 0.00970 -1.15916 0.00661 -0.19434 0.00394 0.96482 0.00675
2460492.5610069 -1.51307 0.00497 -0.49545 0.00324 -1.66872 0.00622 -0.70190 0.00351 0.56840 0.00451 -0.60488 0.00697 0.36194 0.00471 1.79763 0.00965 0.62436 0.01102 1.59118 0.00975 -1.17327 0.00647 -0.20645 0.00392 0.96682 0.00661
2460492.5624537 -1.51209 0.00496 -0.51148 0.00328 -1.66894 0.00624 -0.70721 0.00354 0.56087 0.00458 -0.59659 0.00701 0.36514 0.00477 1.75173 0.00956 0.59427 0.01093 1.55599 0.00965 -1.15746 0.00649 -0.19573 0.00397 0.96173 0.00663
2460492.5696991 -1.61992 0.00511 -0.60792 0.00325 -1.78329 0.00640 -0.79589 0.00351 0.57430 0.00470 -0.60107 0.00725 0.38633 0.00488 1.75703 0.00994 0.58166 0.01137 1.56906 0.01003 -1.17537 0.00668 -0.18797 0.00399 0.98740 0.00681
2460492.5711343 -1.64161 0.00516 -0.62627 0.00327 -1.80671 0.00654 -0.81682 0.00353 0.57601 0.00477 -0.60442 0.00740 0.38546 0.00495 1.76523 0.01006 0.58479 0.01154 1.57468 0.01015 -1.18043 0.00683 -0.19055 0.00404 0.98988 0.00695
2460492.5747685 -1.63263 0.00520 -0.63870 0.00335 -1.79744 0.00661 -0.82855 0.00365 0.55825 0.00493 -0.60049 0.00753 0.36841 0.00514 1.73297 0.01003 0.57423 0.01153 1.54312 0.01013 -1.15874 0.00692 -0.18985 0.00419 0.96889 0.00707
2460492.5762269 -1.61886 0.00521 -0.61648 0.00338 -1.78521 0.00663 -0.81625 0.00368 0.56064 0.00489 -0.60809 0.00751 0.36086 0.00510 1.75949 0.01008 0.59076 0.01158 1.55972 0.01018 -1.16873 0.00693 -0.19977 0.00419 0.96896 0.00708
2460492.5776736 -1.60222 0.00540 -0.59740 0.00341 -1.74715 0.00664 -0.78431 0.00369 0.56201 0.00491 -0.58774 0.00752 0.37511 0.00510 1.76515 0.01059 0.61540 0.01202 1.57824 0.01068 -1.14975 0.00693 -0.18690 0.00420 0.96285 0.00707
2460492.6059259 -1.48254 0.00600 -0.47935 0.00373 -1.65744 0.00787 -0.67403 0.00405 0.56116 0.00544 -0.61694 0.00881 0.36647 0.00566 1.76119 0.01164 0.58309 0.01355 1.56650 0.01175 -1.17809 0.00813 -0.19468 0.00453 0.98341 0.00828
2460492.6088310 -1.49227 0.00622 -0.48810 0.00384 -1.64360 0.00790 -0.68085 0.00415 0.55923 0.00551 -0.59626 0.00884 0.36649 0.00573 1.77099 0.01219 0.61550 0.01401 1.57825 0.01229 -1.15549 0.00817 -0.19274 0.00463 0.96275 0.00832
2460492.6197222 -1.56292 0.00642 -0.56709 0.00393 -1.73512 0.00832 -0.77221 0.00426 0.55927 0.00579 -0.60876 0.00934 0.35415 0.00601 1.73747 0.01263 0.56945 0.01460 1.53235 0.01274 -1.16803 0.00864 -0.20512 0.00486 0.96291 0.00879
2460492.6494444 -1.44158 0.00804 -0.47098 0.00477 -1.60601 0.01049 -0.65444 0.00525 0.53562 0.00713 -0.59941 0.01175 0.35216 0.00746 1.70756 0.01585 0.57253 0.01840 1.52410 0.01600 -1.13503 0.01084 -0.18346 0.00592 0.95157 0.01106
2460492.3877315 -1.48858 0.00645 -0.47693 0.00395 -1.65308 0.00809 -0.67332 0.00421 0.56792 0.00565 -0.60823 0.00904 0.37153 0.00584 1.77481 0.01277 0.59866 0.01459 1.57842 0.01286 -1.17615 0.00838 -0.19639 0.00475 0.97976 0.00851
2460492.4073264 -1.52763 0.00612 -0.50596 0.00384 -1.68147 0.00752 -0.70504 0.00415 0.58006 0.00553 -0.59546 0.00851 0.38097 0.00575 1.77842 0.01191 0.60291 0.01356 1.57933 0.01202 -1.17551 0.00782 -0.19908 0.00466 0.97643 0.00797
2460492.4500694 -1.49075 0.00613 -0.48559 0.00394 -1.64304 0.00768 -0.68056 0.00428 0.56474 0.00558 -0.59271 0.00864 0.36977 0.00582 1.75832 0.01190 0.60086 0.01360 1.56335 0.01201 -1.15746 0.00798 -0.19497 0.00480 0.96249 0.00816
2460492.4587616 -1.51089 0.00611 -0.51703 0.00391 -1.68271 0.00789 -0.70308 0.00418 0.55643 0.00560 -0.60925 0.00885 0.37038 0.00579 1.73810 0.01187 0.57242 0.01370 1.55205 0.01196 -1.16568 0.00819 -0.18605 0.00473 0.97963 0.00832
2460492.4616551 -1.52725 0.00615 -0.51441 0.00395 -1.67840 0.00777 -0.72246 0.00426 0.56914 0.00567 -0.59484 0.00877 0.36109 0.00589 1.77590 0.01190 0.61192 0.01365 1.56785 0.01201 -1.16399 0.00809 -0.20805 0.00481 0.95593 0.00824
2460492.4674653 -1.57356 0.00581 -0.56638 0.00377 -1.73602 0.00745 -0.77807 0.00403 0.57386 0.00545 -0.59578 0.00842 0.36217 0.00563 1.73926 0.01124 0.56962 0.01295 1.52757 0.01133 -1.16964 0.00778 -0.21169 0.00462 0.95795 0.00791
2460492.4783565 -1.55877 0.00539 -0.55794 0.00348 -1.71416 0.00674 -0.75700 0.00376 0.55468 0.00503 -0.60155 0.00766 0.35562 0.00522 1.77136 0.01036 0.61513 0.01186 1.57230 0.01046 -1.15623 0.00703 -0.19906 0.00425 0.95717 0.00717
2460492.4884954 -1.51841 0.00524 -0.51238 0.00347 -1.68670 0.00680 -0.69619 0.00374 0.56466 0.00489 -0.60966 0.00762 0.38085 0.00508 1.76202 0.01005 0.58770 0.01163 1.57822 0.01014 -1.17432 0.00706 -0.18380 0.00420 0.99051 0.00720
2460492.4979514 -1.50122 0.00514 -0.48950 0.00338 -1.65439 0.00633 -0.67532 0.00364 0.57019 0.00474 -0.59469 0.00715 0.38438 0.00493 1.76821 0.00983 0.60332 0.01119 1.58239 0.00992 -1.16489 0.00657 -0.18582 0.00404 0.97907 0.00671
2460492.5051968 -1.48689 0.00521 -0.47907 0.00347 -1.65315 0.00674 -0.66539 0.00374 0.56396 0.00482 -0.61012 0.00753 0.37764 0.00502 1.77138 0.00996 0.59729 0.01152 1.58505 0.01006 -1.17409 0.00700 -0.18633 0.00418 0.98776 0.00713
2460492.5146296 -1.56035 0.00521 -0.53254 0.00335 -1.70889 0.00624 -0.72641 0.00360 0.58242 0.00479 -0.59392 0.00711 0.38856 0.00497 1.79598 0.01007 0.61964 0.01136 1.60212 0.01016 -1.17634 0.00651 -0.19387 0.00406 0.98248 0.00664
2460492.5175231 -1.59080 0.00509 -0.57919 0.00330 -1.72894 0.00655 -0.75874 0.00356 0.57195 0.00474 -0.57780 0.00738 0.39240 0.00492 1.76248 0.00980 0.61273 0.01131 1.58293 0.00989 -1.14975 0.00681 -0.17955 0.00403 0.97020 0.00694
2460492.5247685 -1.61838 0.00525 -0.61387 0.00341 -1.77230 0.00669 -0.80162 0.00363 0.56508 0.00487 -0.59334 0.00754 0.37733 0.00503 1.75469 0.01021 0.59627 0.01172 1.56695 0.01029 -1.15842 0.00700 -0.18775 0.00416 0.97067 0.00711
2460492.5276620 -1.60115 0.00522 -0.59644 0.00340 -1.76352 0.00686 -0.78231 0.00367 0.56104 0.00489 -0.60604 0.00770 0.37517 0.00508 1.76768 0.01008 0.60060 0.01171 1.58181 0.01017 -1.16708 0.00714 -0.18587 0.00419 0.98121 0.00728
2460492.5291088 -1.59195 0.00522 -0.57608 0.00337 -1.74848 0.00655 -0.76815 0.00368 0.57854 0.00482 -0.59386 0.00739 0.38647 0.00503 1.75976 0.01009 0.58736 0.01154 1.56769 0.01019 -1.17240 0.00682 -0.19207 0.00414 0.98033 0.00697
2460492.5356366 -1.53101 0.00532 -0.53343 0.00345 -1.71336 0.00682 -0.71574 0.00366 0.55425 0.00486 -0.62567 0.00764 0.37195 0.00502 1.75950 0.01034 0.57958 0.01190 1.57720 0.01042 -1.17992 0.00709 -0.18230 0.00415 0.99762 0.00720
2460492.5385417 -1.51344 0.00525 -0.49478 0.00342 -1.65832 0.00646 -0.68750 0.00370 0.57941 0.00487 -0.58414 0.00733 0.38669 0.00506 1.76833 0.01006 0.60478 0.01145 1.57561 0.01015 -1.16354 0.00672 -0.19271 0.00414 0.97083 0.00686
2460492.5414352 -1.50535 0.00515 -0.49395 0.00338 -1.65164 0.00651 -0.68757 0.00363 0.57379 0.00480 -0.58390 0.00735 0.38016 0.00498 1.75615 0.00983 0.59846 0.01130 1.56253 0.00992 -1.15769 0.00676 -0.19362 0.00407 0.96406 0.00689
2460492.5443403 -1.48460 0.00515 -0.47555 0.00335 -1.63932 0.00646 -0.67421 0.00365 0.57125 0.00472 -0.59252 0.00726 0.37259 0.00494 1.75437 0.00987 0.59060 0.01131 1.55571 0.00998 -1.16377 0.00669 -0.19866 0.00405 0.96511 0.00684
2460492.5472222 -1.47595 0.00524 -0.46371 0.00339 -1.65804 0.00682 -0.66446 0.00367 0.56666 0.00469 -0.62767 0.00755 0.36590 0.00490 1.78102 0.01017 0.58669 0.01177 1.58027 0.01027 -1.19432 0.00704 -0.20075 0.00408 0.99357 0.00718
2460492.5486806 -1.47654 0.00509 -0.46627 0.00336 -1.63802 0.00641 -0.66421 0.00363 0.56489 0.00473 -0.60685 0.00722 0.36695 0.00493 1.77844 0.00968 0.60669 0.01111 1.58050 0.00978 -1.17175 0.00664 -0.19794 0.00403 0.97380 0.00678
2460492.5552083 -1.46920 0.00495 -0.45823 0.00327 -1.64377 0.00620 -0.65433 0.00351 0.56645 0.00460 -0.61909 0.00699 0.37035 0.00477 1.77653 0.00941 0.59099 0.01078 1.58043 0.00949 -1.18554 0.00643 -0.19610 0.00391 0.98944 0.00656
2460492.5595602 -1.49440 0.00495 -0.48871 0.00325 -1.64841 0.00618 -0.67762 0.00352 0.56622 0.00463 -0.59349 0.00701 0.37730 0.00482 1.75601 0.00942 0.59630 0.01078 1.56709 0.00951 -1.15971 0.00642 -0.18892 0.00392 0.97079 0.00656
2460492.5653472 -1.57136 0.00510 -0.56006 0.00323 -1.73718 0.00646 -0.75547 0.00353 0.57302 0.00468 -0.60410 0.00729 0.37761 0.00489 1.75805 0.00984 0.58092 0.01132 1.56264 0.00994 -1.17712 0.00670 -0.19541 0.00396 0.98172 0.00685
2460492.5682523 -1.60823 0.00512 -0.59778 0.00330 -1.75061 0.00638 -0.79085 0.00352 0.56729 0.00475 -0.58554 0.00724 0.37422 0.00491 1.77185 0.00995 0.61902 0.01135 1.57878 0.01003 -1.15283 0.00668 -0.19307 0.00403 0.95976 0.00679
2460492.5791204 -1.59503 0.00536 -0.58308 0.00343 -1.73504 0.00671 -0.77953 0.00373 0.56659 0.00494 -0.58537 0.00759 0.37014 0.00515 1.78006 0.01049 0.62810 0.01197 1.58361 0.01059 -1.15196 0.00701 -0.19646 0.00426 0.95550 0.00717
2460492.5820255 -1.57241 0.00547 -0.55858 0.00345 -1.72047 0.00689 -0.75234 0.00373 0.57233 0.00506 -0.58956 0.00782 0.37857 0.00525 1.77023 0.01060 0.60834 0.01216 1.57647 0.01069 -1.16189 0.00718 -0.19376 0.00424 0.96813 0.00732
2460492.5834606 -1.55032 0.00549 -0.52858 0.00342 -1.70527 0.00691 -0.74464 0.00375 0.57673 0.00496 -0.59995 0.00779 0.36067 0.00520 1.78876 0.01071 0.61208 0.01228 1.57270 0.01082 -1.17669 0.00718 -0.21606 0.00422 0.96063 0.00734
2460492.5878125 -1.51319 0.00574 -0.50047 0.00359 -1.66968 0.00726 -0.69786 0.00389 0.56806 0.00514 -0.60115 0.00814 0.37066 0.00536 1.77871 0.01121 0.60950 0.01287 1.58132 0.01131 -1.16921 0.00753 -0.19739 0.00436 0.97182 0.00767
2460492.5972454 -1.47168 0.00594 -0.47160 0.00373 -1.65313 0.00758 -0.66491 0.00401 0.55861 0.00535 -0.62291 0.00849 0.36531 0.00555 1.75636 0.01157 0.57484 0.01332 1.56305 0.01166 -1.18152 0.00785 -0.19331 0.00450 0.98821 0.00798
2460492.6044792 -1.47232 0.00601 -0.46879 0.00377 -1.62583 0.00745 -0.65503 0.00406 0.56706 0.00541 -0.58997 0.00839 0.38082 0.00561 1.74488 0.01164 0.58785 0.01329 1.55864 0.01173 -1.15703 0.00770 -0.18624 0.00451 0.97079 0.00785
2460492.6131713 -1.48889 0.00626 -0.50468 0.00387 -1.67094 0.00798 -0.70760 0.00425 0.53893 0.00559 -0.62733 0.00894 0.33601 0.00586 1.75209 0.01226 0.58583 0.01410 1.54917 0.01238 -1.16626 0.00826 -0.20292 0.00475 0.96334 0.00844
2460492.6211690 -1.58540 0.00651 -0.59045 0.00394 -1.74860 0.00855 -0.77750 0.00428 0.55575 0.00582 -0.60241 0.00956 0.36869 0.00605 1.74447 0.01294 0.58631 0.01500 1.55742 0.01305 -1.15815 0.00888 -0.18705 0.00492 0.97110 0.00904
2460492.6465509 -1.48037 0.00775 -0.46279 0.00467 -1.63022 0.01011 -0.66735 0.00503 0.58266 0.00696 -0.58476 0.01135 0.37810 0.00720 1.75440 0.01524 0.58697 0.01768 1.54983 0.01536 -1.16743 0.01046 -0.20456 0.00572 0.96286 0.01063
2460492.3986343 -1.48942 0.00586 -0.47682 0.00368 -1.65962 0.00724 -0.67587 0.00396 0.56882 0.00525 -0.61399 0.00815 0.36977 0.00545 1.77592 0.01141 0.59311 0.01300 1.57687 0.01150 -1.18281 0.00750 -0.19905 0.00442 0.98376 0.00764
2460492.4058796 -1.51677 0.00601 -0.51142 0.00379 -1.69383 0.00758 -0.72239 0.00408 0.56398 0.00544 -0.61842 0.00853 0.35301 0.00565 1.76132 0.01172 0.57891 0.01343 1.55035 0.01182 -1.18240 0.00788 -0.21097 0.00461 0.97144 0.00802
