JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 K1-K2 s11 K1-K3 s12 K2-K3 s13
Aperture: 5, Filter: L, JD: geocentric
2460492.4239815 -1.58300 0.00620 -0.56034 0.00380 -1.74028 0.00773 -0.76097 0.00412 0.57657 0.00561 -0.60337 0.00876 0.37594 0.00584 1.79304 0.01214 0.61310 0.01388 1.59241 0.01225 -1.17994 0.00804 -0.20063 0.00468 0.97932 0.00820
2460492.4268866 -1.55525 0.00637 -0.53565 0.00395 -1.71819 0.00795 -0.73367 0.00427 0.57694 0.00577 -0.60560 0.00899 0.37892 0.00599 1.77951 0.01251 0.59697 0.01429 1.58149 0.01261 -1.18254 0.00828 -0.19802 0.00486 0.98452 0.00844
2460492.4696528 -1.59244 0.00563 -0.59506 0.00365 -1.75484 0.00718 -0.78668 0.00393 0.55670 0.00525 -0.60307 0.00811 0.36508 0.00545 1.75128 0.01097 0.59150 0.01260 1.55966 0.01107 -1.15977 0.00752 -0.19162 0.00451 0.96815 0.00766
2460492.4827083 -1.52532 0.00513 -0.53117 0.00340 -1.68934 0.00660 -0.71674 0.00364 0.54759 0.00480 -0.61058 0.00742 0.36201 0.00497 1.76595 0.00984 0.60779 0.01135 1.58038 0.00993 -1.15817 0.00687 -0.18557 0.00411 0.97259 0.00699
2460492.4906829 -1.50073 0.00511 -0.48924 0.00337 -1.64118 0.00634 -0.68641 0.00360 0.56946 0.00476 -0.58248 0.00718 0.37229 0.00493 1.76948 0.00975 0.61755 0.01113 1.57232 0.00983 -1.15194 0.00659 -0.19717 0.00403 0.95477 0.00672
2460492.4993866 -1.48851 0.00520 -0.48170 0.00338 -1.64754 0.00643 -0.66988 0.00368 0.56547 0.00476 -0.60037 0.00726 0.37730 0.00499 1.76273 0.00999 0.59688 0.01139 1.57455 0.01010 -1.16584 0.00667 -0.18817 0.00409 0.97767 0.00683
2460492.5080903 -1.49726 0.00512 -0.49588 0.00338 -1.66261 0.00645 -0.68459 0.00361 0.56278 0.00477 -0.60395 0.00727 0.37408 0.00494 1.74907 0.00979 0.58235 0.01122 1.56037 0.00987 -1.16672 0.00671 -0.18870 0.00405 0.97802 0.00682
2460492.5907176 -1.50554 0.00583 -0.48925 0.00374 -1.66763 0.00728 -0.69147 0.00400 0.57964 0.00539 -0.59874 0.00825 0.37743 0.00558 1.75818 0.01129 0.57980 0.01290 1.55597 0.01138 -1.17838 0.00758 -0.20221 0.00454 0.97617 0.00772
2460492.5986921 -1.47480 0.00591 -0.46783 0.00377 -1.63612 0.00761 -0.65361 0.00403 0.56693 0.00543 -0.60136 0.00855 0.38115 0.00561 1.75898 0.01140 0.59070 0.01317 1.57321 0.01149 -1.16829 0.00789 -0.18578 0.00454 0.98251 0.00802
2460492.6146296 -1.54040 0.00632 -0.51873 0.00393 -1.70795 0.00830 -0.72258 0.00421 0.57761 0.00570 -0.61161 0.00927 0.37375 0.00590 1.78584 0.01241 0.59662 0.01441 1.58199 0.01250 -1.18922 0.00861 -0.20386 0.00480 0.98537 0.00874
2460492.6313194 -1.56474 0.00702 -0.57200 0.00429 -1.73407 0.00912 -0.76021 0.00448 0.55113 0.00626 -0.61094 0.01019 0.36292 0.00639 1.74946 0.01406 0.58739 0.01620 1.56125 0.01412 -1.16207 0.00951 -0.18821 0.00524 0.97386 0.00960
2460492.6327662 -1.54863 0.00705 -0.54996 0.00424 -1.70892 0.00891 -0.73349 0.00453 0.55951 0.00636 -0.59945 0.01009 0.37598 0.00655 1.74805 0.01390 0.58908 0.01596 1.56452 0.01399 -1.15896 0.00927 -0.18353 0.00520 0.97543 0.00940
2460492.3775810 -1.54211 0.00849 -0.53919 0.00470 -1.73035 0.01097 -0.74313 0.00513 0.55063 0.00716 -0.64052 0.01223 0.34670 0.00745 1.79248 0.01733 0.60133 0.01997 1.58855 0.01745 -1.19116 0.01137 -0.20394 0.00592 0.98722 0.01155
2460492.3862731 -1.48943 0.00628 -0.48240 0.00387 -1.66154 0.00809 -0.67491 0.00425 0.56381 0.00565 -0.61533 0.00908 0.37130 0.00592 1.76866 0.01223 0.58952 0.01414 1.57615 0.01235 -1.17914 0.00836 -0.19251 0.00475 0.98663 0.00855
2460492.4000810 -1.49471 0.00579 -0.48410 0.00369 -1.66504 0.00755 -0.67793 0.00400 0.57333 0.00524 -0.60761 0.00841 0.37950 0.00547 1.75443 0.01127 0.57349 0.01305 1.56060 0.01138 -1.18094 0.00781 -0.19383 0.00449 0.98711 0.00797
2460492.4312384 -1.52901 0.00640 -0.50127 0.00394 -1.67569 0.00784 -0.71394 0.00433 0.58291 0.00582 -0.59152 0.00893 0.37024 0.00609 1.79425 0.01245 0.61982 0.01418 1.58158 0.01258 -1.17443 0.00815 -0.21267 0.00487 0.96176 0.00834
2460492.4326852 -1.52023 0.00632 -0.50079 0.00399 -1.67774 0.00809 -0.70252 0.00435 0.58298 0.00571 -0.59397 0.00906 0.38125 0.00596 1.76077 0.01231 0.58382 0.01418 1.55904 0.01243 -1.17695 0.00839 -0.20173 0.00488 0.97522 0.00856
2460492.4399306 -1.48506 0.00629 -0.48420 0.00401 -1.68042 0.00826 -0.67449 0.00430 0.55958 0.00570 -0.63664 0.00921 0.36930 0.00591 1.75658 0.01224 0.56036 0.01421 1.56629 0.01234 -1.19622 0.00855 -0.19029 0.00484 1.00594 0.00870
2460492.4573148 -1.51643 0.00605 -0.51657 0.00385 -1.66326 0.00754 -0.71441 0.00417 0.55944 0.00545 -0.58725 0.00847 0.36160 0.00568 1.75299 0.01180 0.60630 0.01346 1.55515 0.01191 -1.14669 0.00783 -0.19784 0.00468 0.94885 0.00799
2460492.4870486 -1.52188 0.00530 -0.50405 0.00345 -1.66968 0.00670 -0.69681 0.00373 0.57459 0.00492 -0.59105 0.00756 0.38183 0.00512 1.77951 0.01018 0.61387 0.01169 1.58675 0.01028 -1.16563 0.00697 -0.19276 0.00419 0.97288 0.00711
2460492.4935995 -1.50970 0.00502 -0.50822 0.00335 -1.68009 0.00635 -0.70290 0.00365 0.55878 0.00472 -0.61309 0.00717 0.36410 0.00494 1.76152 0.00952 0.58965 0.01095 1.56684 0.00963 -1.17187 0.00660 -0.19468 0.00406 0.97719 0.00675
2460492.5095255 -1.49850 0.00503 -0.50496 0.00336 -1.67094 0.00651 -0.68179 0.00365 0.55120 0.00467 -0.61478 0.00727 0.37437 0.00488 1.75249 0.00960 0.58651 0.01110 1.57566 0.00971 -1.16598 0.00675 -0.17683 0.00407 0.98915 0.00690
2460492.5399884 -1.50606 0.00520 -0.49613 0.00340 -1.67383 0.00655 -0.69969 0.00367 0.56780 0.00481 -0.60990 0.00739 0.36424 0.00501 1.76823 0.00996 0.59053 0.01143 1.56467 0.01005 -1.17770 0.00680 -0.20357 0.00409 0.97414 0.00694
2460492.5863657 -1.53024 0.00551 -0.51713 0.00354 -1.68901 0.00711 -0.72382 0.00385 0.57856 0.00516 -0.59332 0.00804 0.37186 0.00538 1.74883 0.01057 0.57695 0.01223 1.54214 0.01068 -1.17188 0.00738 -0.20669 0.00434 0.96518 0.00754
2460492.5921644 -1.48992 0.00590 -0.47306 0.00371 -1.65594 0.00760 -0.67519 0.00404 0.57633 0.00532 -0.60655 0.00850 0.37420 0.00555 1.77035 0.01150 0.58747 0.01328 1.56822 0.01161 -1.18289 0.00787 -0.20213 0.00453 0.98075 0.00803
2460492.5936111 -1.48130 0.00594 -0.47265 0.00375 -1.64220 0.00748 -0.67592 0.00401 0.56576 0.00531 -0.60379 0.00838 0.36249 0.00551 1.76922 0.01165 0.59967 0.01333 1.56595 0.01174 -1.16955 0.00777 -0.20327 0.00453 0.96628 0.00791
2460492.5957986 -1.46980 0.00594 -0.46165 0.00371 -1.64684 0.00739 -0.66623 0.00407 0.56893 0.00531 -0.61626 0.00831 0.36434 0.00557 1.75773 0.01156 0.57255 0.01321 1.55315 0.01168 -1.18519 0.00765 -0.20458 0.00452 0.98061 0.00783
2460492.6356713 -1.51398 0.00716 -0.51211 0.00425 -1.68469 0.00914 -0.70390 0.00458 0.55993 0.00634 -0.61264 0.01028 0.36815 0.00656 1.75958 0.01421 0.58700 0.01635 1.56779 0.01431 -1.17258 0.00948 -0.19179 0.00522 0.98079 0.00963
2460492.6509028 -1.47540 0.00837 -0.47381 0.00501 -1.64964 0.01106 -0.66649 0.00533 0.56324 0.00747 -0.61260 0.01237 0.37055 0.00769 1.74860 0.01653 0.57276 0.01925 1.55591 0.01663 -1.17584 0.01145 -0.19269 0.00609 0.98315 0.01159
2460492.6523495 -1.47717 0.00879 -0.46969 0.00500 -1.64766 0.01112 -0.66303 0.00550 0.56841 0.00748 -0.60956 0.01243 0.37507 0.00782 1.75660 0.01762 0.57863 0.02023 1.56326 0.01777 -1.17797 0.01147 -0.19334 0.00617 0.98463 0.01170
2460492.6537963 -1.46024 0.00918 -0.45366 0.00522 -1.62033 0.01177 -0.64794 0.00571 0.56264 0.00776 -0.60403 0.01310 0.36836 0.00810 1.77036 0.01856 0.60369 0.02135 1.57608 0.01871 -1.16667 0.01216 -0.19428 0.00647 0.97239 0.01238
2460492.3891782 -1.47813 0.00618 -0.47910 0.00384 -1.65606 0.00784 -0.67389 0.00417 0.56291 0.00550 -0.61405 0.00877 0.36812 0.00573 1.73936 0.01209 0.56240 0.01389 1.54457 0.01220 -1.17696 0.00811 -0.19479 0.00466 0.98217 0.00827
